timestamp,strategy,regime,fair_price,best_bid,best_ask,recent_volatility,inventory,cash,pnl,bid_depth,ask_depth
1,FixedSpread,Balanced,99.996560,99.950000,100.050000,0.000206,0,0.000000,0.000000,1011,1000
2,FixedSpread,Balanced,100.006897,99.950000,100.050000,0.000814,0,0.000000,0.000000,1011,989
3,FixedSpread,Balanced,99.998222,99.950000,100.050000,0.001286,0,0.000000,0.000000,1009,989
4,FixedSpread,Balanced,100.011338,99.950000,100.050000,0.001996,0,0.000000,0.000000,1009,988
5,FixedSpread,Balanced,100.024457,99.950000,100.050000,0.002663,0,0.000000,0.000000,1009,971
6,FixedSpread,Balanced,100.036017,99.950000,100.050000,0.003197,0,0.000000,0.000000,1009,955
7,FixedSpread,Balanced,100.035685,99.950000,100.050000,0.003025,0,0.000000,0.000000,1021,955
8,FixedSpread,Balanced,100.040107,99.950000,100.048205,0.003109,0,0.000000,0.000000,1021,964
9,FixedSpread,Balanced,100.048084,99.950000,100.050000,0.003401,0,0.000000,0.000000,1021,955
10,FixedSpread,Balanced,100.043428,99.993428,100.050000,0.003476,0,0.000000,0.000000,1038,965
11,FixedSpread,Balanced,100.042679,99.993428,100.050000,0.003313,0,0.000000,0.000000,1056,965
12,FixedSpread,Balanced,100.030177,99.950000,100.050000,0.003864,10,-999.934277,0.367491,1038,965
13,FixedSpread,Balanced,100.022396,99.950000,100.050000,0.004099,10,-999.934277,0.289678,1024,965
14,FixedSpread,Balanced,100.033282,99.950000,100.093428,0.004506,7,-699.653994,0.578982,1024,957
15,FixedSpread,Balanced,100.019245,99.950000,100.093428,0.005078,7,-699.653994,0.480721,1011,957
16,FixedSpread,Balanced,100.033968,99.950000,100.100000,0.005657,0,1.000000,1.000000,1011,950
17,FixedSpread,Balanced,100.048036,99.950000,100.100000,0.006162,0,1.000000,1.000000,1011,939
18,FixedSpread,Balanced,100.044195,99.950000,100.100000,0.006022,0,1.000000,1.000000,1011,944
19,FixedSpread,Balanced,100.042903,99.950000,100.072323,0.005738,0,1.000000,1.000000,1011,956
20,FixedSpread,Balanced,100.046775,99.996775,100.072323,0.005627,0,1.000000,1.000000,1021,969
21,FixedSpread,Balanced,100.062264,99.996775,100.096775,0.006218,-3,301.290325,1.103533,1021,954
22,FixedSpread,Balanced,100.064371,100.044582,100.096775,0.005972,-3,301.290325,1.097213,1035,954
23,FixedSpread,Balanced,100.071685,100.044582,100.100000,0.006052,-10,1001.967751,1.250899,1035,941
24,FixedSpread,Balanced,100.072729,100.044582,100.100000,0.005752,-10,1001.967751,1.240458,1039,941
25,FixedSpread,Balanced,100.080499,100.044582,100.100000,0.005873,-10,1001.967751,1.162760,1039,937
26,FixedSpread,Balanced,100.095580,100.044582,100.100000,0.006425,-10,1001.967751,1.011948,1039,935
27,FixedSpread,Balanced,100.099413,100.044582,100.100000,0.006270,-10,1001.967751,0.973620,1039,947
28,FixedSpread,Balanced,100.107514,100.044582,100.100000,0.006380,-10,1001.967751,0.892614,1039,940
29,FixedSpread,Balanced,100.123121,100.044582,100.126145,0.006933,-10,1001.967751,0.736541,1039,920
30,FixedSpread,Balanced,100.108342,100.058342,100.126145,0.007404,-10,1001.967751,0.884331,1040,930
31,FixedSpread,Balanced,100.118574,100.058342,100.150000,0.007574,-10,1001.967751,0.782010,1040,915
32,FixedSpread,Balanced,100.102223,99.996775,100.150000,0.008100,1,-98.612444,1.489778,1020,915
33,FixedSpread,Balanced,100.116346,99.996775,100.150000,0.008462,1,-98.612444,1.503901,1020,908
34,FixedSpread,Balanced,100.105441,99.950000,100.150000,0.008608,10,-998.583420,2.470993,1003,908
35,FixedSpread,Balanced,100.121524,99.950000,100.150000,0.009057,10,-998.583420,2.631820,1003,903
36,FixedSpread,Balanced,100.138380,99.950000,100.150000,0.009525,10,-998.583420,2.800385,1003,891
37,FixedSpread,Balanced,100.123757,99.944000,100.150000,0.009831,10,-998.583420,2.654148,992,891
38,FixedSpread,Balanced,100.122745,99.944000,100.150000,0.009301,10,-998.583420,2.644031,997,891
39,FixedSpread,Balanced,100.119610,99.944000,100.150000,0.008931,10,-998.583420,2.612683,997,892
40,FixedSpread,Balanced,100.109722,100.059722,100.150000,0.008989,10,-998.583420,2.513798,1003,902
41,FixedSpread,Balanced,100.108698,100.059722,100.150000,0.008511,10,-998.583420,2.503555,1010,902
42,FixedSpread,Balanced,100.095108,100.059722,100.150000,0.008816,11,-1098.643142,2.403048,1009,902
43,FixedSpread,Balanced,100.080394,99.926906,100.150000,0.009170,20,-1999.180638,2.427235,999,902
44,FixedSpread,Balanced,100.066002,99.900000,100.150000,0.009483,20,-1999.180638,2.139401,979,902
45,FixedSpread,Balanced,100.067333,99.900000,100.150000,0.008994,20,-1999.180638,2.166021,979,914
46,FixedSpread,Balanced,100.082800,99.900000,100.158342,0.009382,17,-1698.705612,2.701981,979,895
47,FixedSpread,Balanced,100.087156,99.911123,100.158342,0.009081,17,-1698.705612,2.776039,980,895
48,FixedSpread,Balanced,100.083171,99.911123,100.098903,0.008775,17,-1698.705612,2.708289,980,915
49,FixedSpread,Balanced,100.083027,100.015152,100.098903,0.008257,17,-1698.705612,2.705843,998,915
50,FixedSpread,Balanced,100.073149,100.023149,100.098903,0.008354,17,-1698.705612,2.537914,999,925
51,FixedSpread,Balanced,100.083813,100.023149,100.098903,0.008493,17,-1698.705612,2.719214,999,909
52,FixedSpread,Balanced,100.079750,100.023149,100.098903,0.008227,17,-1698.705612,2.650138,999,926
53,FixedSpread,Balanced,100.096480,100.023149,100.158342,0.008737,7,-697.474126,3.201235,999,912
54,FixedSpread,Balanced,100.083824,100.023149,100.158342,0.008972,15,-1497.659315,3.598046,991,912
55,FixedSpread,Balanced,100.075466,99.900000,100.158342,0.008936,17,-1697.705612,3.577306,976,912
56,FixedSpread,Balanced,100.082709,99.900000,100.174039,0.008834,0,5.000000,5.000000,976,893
57,FixedSpread,Balanced,100.080505,99.983419,100.174039,0.008436,0,5.000000,5.000000,988,893
58,FixedSpread,Balanced,100.079786,99.983419,100.174039,0.007973,0,5.000000,5.000000,988,902
59,FixedSpread,Balanced,100.078637,99.983419,100.145732,0.007564,0,5.000000,5.000000,988,903
60,FixedSpread,Balanced,100.077584,100.027584,100.127584,0.007173,0,5.000000,5.000000,1001,913
61,FixedSpread,Balanced,100.078734,100.027584,100.106048,0.006812,0,5.000000,5.000000,1001,921
62,FixedSpread,Balanced,100.082221,100.027584,100.106048,0.006612,0,5.000000,5.000000,1011,921
63,FixedSpread,Balanced,100.068157,100.007450,100.106048,0.007059,10,-995.275842,5.405727,995,921
64,FixedSpread,Balanced,100.063973,100.007450,100.106048,0.006887,10,-995.275842,5.363886,995,939
65,FixedSpread,Balanced,100.053473,99.983419,100.106048,0.007104,10,-995.275842,5.258883,982,939
