timestamp,strategy,regime,fair_price,best_bid,best_ask,recent_volatility,inventory,cash,pnl,bid_depth,ask_depth
1,FixedSpread,BuyPressure,99.996480,99.950000,100.050000,0.000211,0,0.000000,0.000000,1001,1000
2,FixedSpread,BuyPressure,99.993678,99.962344,100.050000,0.000367,0,0.000000,0.000000,1002,1000
3,FixedSpread,BuyPressure,100.003778,99.962344,100.050000,0.000951,0,0.000000,0.000000,1002,984
4,FixedSpread,BuyPressure,99.991943,99.950000,100.050000,0.001604,0,0.000000,0.000000,986,984
5,FixedSpread,BuyPressure,99.996284,99.950000,100.050000,0.001768,0,0.000000,0.000000,998,984
6,FixedSpread,BuyPressure,99.992282,99.950000,100.012758,0.001902,0,0.000000,0.000000,998,987
7,FixedSpread,BuyPressure,99.978695,99.950000,100.012758,0.002603,0,0.000000,0.000000,993,987
8,FixedSpread,BuyPressure,99.995176,99.950000,100.050000,0.003436,0,0.000000,0.000000,993,971
9,FixedSpread,BuyPressure,99.993906,99.953627,100.050000,0.003306,0,0.000000,0.000000,1002,971
10,FixedSpread,BuyPressure,100.002888,99.953627,100.050000,0.003646,0,0.000000,0.000000,1012,968
11,FixedSpread,BuyPressure,99.998238,99.953627,100.050000,0.003707,0,0.000000,0.000000,1029,968
12,FixedSpread,BuyPressure,99.984237,99.952888,100.050000,0.004324,4,-399.811552,0.125396,1016,968
13,FixedSpread,BuyPressure,99.991251,99.952888,100.052888,0.004486,2,-199.705776,0.276727,1016,958
14,FixedSpread,BuyPressure,99.991598,99.952888,100.052888,0.004237,2,-199.705776,0.277421,1016,965
15,FixedSpread,BuyPressure,99.995221,99.952888,100.052888,0.004200,2,-199.705776,0.284665,1024,965
16,FixedSpread,BuyPressure,100.011915,99.952888,100.052888,0.004950,-3,300.558664,0.522919,1024,960
17,FixedSpread,BuyPressure,100.027814,99.952888,100.052888,0.005607,-4,400.611552,0.500294,1024,959
18,FixedSpread,BuyPressure,100.031828,99.952888,100.052888,0.005511,-4,400.611552,0.484239,1024,962
19,FixedSpread,BuyPressure,100.041982,99.952888,100.100000,0.005790,-6,600.717328,0.465438,1024,954
20,FixedSpread,BuyPressure,100.049681,99.999681,100.099681,0.005905,-6,600.717328,0.419240,1034,944
21,FixedSpread,BuyPressure,100.047509,100.019836,100.099681,0.005681,-6,600.717328,0.432274,1044,944
22,FixedSpread,BuyPressure,100.059512,100.019836,100.099681,0.006060,-11,1101.215734,0.561099,1044,939
23,FixedSpread,BuyPressure,100.073183,100.019836,100.100000,0.006517,-16,1601.714140,0.543220,1044,929
24,FixedSpread,BuyPressure,100.076951,100.022246,100.100000,0.006352,-16,1601.714140,0.482932,1060,929
25,FixedSpread,BuyPressure,100.080763,100.022246,100.100000,0.006199,-16,1601.714140,0.421933,1077,929
26,FixedSpread,BuyPressure,100.091283,100.022246,100.100000,0.006459,-16,1601.714140,0.253611,1077,911
27,FixedSpread,BuyPressure,100.088151,100.022246,100.100000,0.006259,-16,1601.714140,0.303724,1088,911
28,FixedSpread,BuyPressure,100.088971,100.022246,100.100000,0.005933,-16,1601.714140,0.290608,1105,911
29,FixedSpread,BuyPressure,100.081269,100.019836,100.100000,0.006039,-16,1601.714140,0.413837,1085,911
30,FixedSpread,BuyPressure,100.089300,100.039300,100.139300,0.006158,-16,1601.714140,0.285333,1095,905
