timestamp,strategy,regime,fair_price,best_bid,best_ask,recent_volatility,inventory,cash,pnl,bid_depth,ask_depth
1,FixedSpread,HighVolatility,99.995460,99.950000,100.050000,0.000272,0,0.000000,0.000000,1004,1000
2,FixedSpread,HighVolatility,100.053516,99.950000,100.050000,0.003739,0,0.000000,0.000000,1004,989
3,FixedSpread,HighVolatility,100.026074,99.950000,100.050000,0.005162,0,0.000000,0.000000,1008,989
4,FixedSpread,HighVolatility,99.987265,99.950000,100.050000,0.007180,0,0.000000,0.000000,993,989
5,FixedSpread,HighVolatility,100.039405,99.950000,100.050000,0.009878,0,0.000000,0.000000,993,971
6,FixedSpread,HighVolatility,100.087189,99.950000,100.050000,0.012152,0,0.000000,0.000000,993,961
7,FixedSpread,HighVolatility,100.069335,99.950000,100.050000,0.012494,0,0.000000,0.000000,1027,961
8,FixedSpread,HighVolatility,100.012268,99.950000,100.050000,0.015169,0,0.000000,0.000000,1018,961
9,FixedSpread,HighVolatility,99.968820,99.950000,100.050000,0.016866,0,0.000000,0.000000,1005,961
10,FixedSpread,HighVolatility,99.991808,99.950000,100.041808,0.017233,0,0.000000,0.000000,1015,958
11,FixedSpread,HighVolatility,99.955340,99.950000,100.041808,0.018387,0,0.000000,0.000000,1003,958
12,FixedSpread,HighVolatility,99.979966,99.950000,100.100000,0.018761,-10,1000.418083,0.618421,1003,938
13,FixedSpread,HighVolatility,100.007160,99.950000,100.100000,0.019267,-10,1000.418083,0.346486,1003,914
14,FixedSpread,HighVolatility,100.032531,99.950000,100.100000,0.019634,-10,1000.418083,0.092775,1016,914
15,FixedSpread,HighVolatility,99.982103,99.900000,100.100000,0.021481,0,1.000000,1.000000,982,914
16,FixedSpread,HighVolatility,99.976996,99.900000,100.100000,0.020499,0,1.000000,1.000000,982,939
17,FixedSpread,HighVolatility,99.980154,99.900000,100.100000,0.019458,0,1.000000,1.000000,982,961
18,FixedSpread,HighVolatility,99.996387,99.900000,100.100000,0.019265,0,1.000000,1.000000,982,955
19,FixedSpread,HighVolatility,100.029070,99.900000,100.143519,0.020070,0,1.000000,1.000000,982,933
20,FixedSpread,HighVolatility,99.992514,99.942514,100.042514,0.021059,0,1.000000,1.000000,959,943
21,FixedSpread,HighVolatility,100.000868,99.942514,100.042514,0.020297,0,1.000000,1.000000,983,943
22,FixedSpread,HighVolatility,100.060259,99.942514,100.143519,0.022642,-10,1001.425140,0.822548,983,923
23,FixedSpread,HighVolatility,100.071973,99.942514,100.150000,0.021987,-10,1001.425140,0.705410,983,907
24,FixedSpread,HighVolatility,100.111596,99.942514,100.150000,0.023045,-10,1001.425140,0.309180,983,905
25,FixedSpread,HighVolatility,100.065848,99.850000,100.150000,0.024407,0,2.000000,2.000000,949,905
26,FixedSpread,HighVolatility,100.001500,99.850000,100.150000,0.026804,0,2.000000,2.000000,915,905
27,FixedSpread,HighVolatility,100.048886,99.850000,100.150000,0.028039,0,2.000000,2.000000,915,893
28,FixedSpread,HighVolatility,100.020072,99.834225,100.150000,0.028085,0,2.000000,2.000000,880,893
29,FixedSpread,HighVolatility,100.078479,99.834225,100.150000,0.029904,0,2.000000,2.000000,880,886
30,FixedSpread,HighVolatility,100.132759,100.082759,100.182759,0.031367,0,2.000000,2.000000,890,869
31,FixedSpread,HighVolatility,100.171796,100.082759,100.200000,0.031827,-10,1003.827591,2.109631,890,855
32,FixedSpread,HighVolatility,100.232060,100.082759,100.200000,0.033533,-10,1003.827591,1.506990,890,830
33,FixedSpread,HighVolatility,100.191600,100.082759,100.200000,0.033949,-8,803.662073,2.129272,888,830
34,FixedSpread,HighVolatility,100.125308,99.834225,100.200000,0.035890,0,3.000000,3.000000,880,830
35,FixedSpread,HighVolatility,100.100442,99.834225,100.156662,0.035228,0,3.000000,3.000000,880,849
36,FixedSpread,HighVolatility,100.103551,99.834225,100.152814,0.033301,0,3.000000,3.000000,880,877
37,FixedSpread,HighVolatility,100.094090,99.800000,100.152814,0.031871,0,3.000000,3.000000,862,877
38,FixedSpread,HighVolatility,100.113961,99.887596,100.152814,0.031151,0,3.000000,3.000000,890,877
39,FixedSpread,HighVolatility,100.062870,99.887596,100.152814,0.032347,0,3.000000,3.000000,866,877
40,FixedSpread,HighVolatility,99.995500,99.945500,100.045500,0.034448,0,3.000000,3.000000,869,887
41,FixedSpread,HighVolatility,100.009390,99.945500,100.045500,0.033215,0,3.000000,3.000000,869,919
42,FixedSpread,HighVolatility,100.044989,99.945500,100.152814,0.033358,-10,1003.455003,3.005115,869,892
43,FixedSpread,HighVolatility,100.052724,99.945500,100.152814,0.031821,-10,1003.455003,2.927759,888,892
44,FixedSpread,HighVolatility,100.028014,99.945500,100.152814,0.031394,-10,1003.455003,3.174858,888,914
45,FixedSpread,HighVolatility,100.027692,99.971504,100.152814,0.029530,-10,1003.455003,3.178078,894,914
46,FixedSpread,HighVolatility,100.084903,99.971504,100.152814,0.031190,-10,1003.455003,2.605974,894,907
47,FixedSpread,HighVolatility,100.062370,100.000447,100.152814,0.030671,-10,1003.455003,2.831301,906,907
48,FixedSpread,HighVolatility,100.036483,100.000447,100.152814,0.030384,-10,1003.455003,3.090170,941,907
49,FixedSpread,HighVolatility,100.060827,100.000447,100.152814,0.030022,-10,1003.455003,2.846738,941,911
50,FixedSpread,HighVolatility,100.101786,100.051786,100.151786,0.030678,-10,1003.455003,2.437141,951,915
51,FixedSpread,HighVolatility,100.095100,99.971504,100.151786,0.029238,0,2.937141,2.937141,925,915
52,FixedSpread,HighVolatility,100.076945,99.945500,100.151786,0.028573,9,-896.572362,4.120147,914,915
53,FixedSpread,HighVolatility,100.142780,99.945500,100.200000,0.030809,-1,104.945500,4.802720,914,884
54,FixedSpread,HighVolatility,100.119727,99.945039,100.200000,0.030344,0,5.000000,5.000000,889,884
55,FixedSpread,HighVolatility,100.133009,99.945039,100.200802,0.029320,0,5.000000,5.000000,889,879
56,FixedSpread,HighVolatility,100.105661,99.800000,100.200802,0.029202,0,5.000000,5.000000,872,879
57,FixedSpread,HighVolatility,100.157451,99.800000,100.250000,0.030557,0,5.000000,5.000000,872,847
58,FixedSpread,HighVolatility,100.137382,99.774093,100.250000,0.029928,0,5.000000,5.000000,847,847
59,FixedSpread,HighVolatility,100.134880,99.774093,100.250000,0.028282,0,5.000000,5.000000,847,878
60,FixedSpread,HighVolatility,100.121077,100.071077,100.171077,0.027413,0,5.000000,5.000000,843,888
61,FixedSpread,HighVolatility,100.061700,99.750000,100.171077,0.029331,10,-995.710771,4.906228,815,888
62,FixedSpread,HighVolatility,100.112143,99.750000,100.250000,0.030598,0,6.000000,6.000000,815,868
63,FixedSpread,HighVolatility,100.128652,99.750000,100.250000,0.029753,0,6.000000,6.000000,815,873
64,FixedSpread,HighVolatility,100.154668,99.750000,100.222591,0.029528,0,6.000000,6.000000,815,882
65,FixedSpread,HighVolatility,100.184996,99.750000,100.222591,0.029576,0,6.000000,6.000000,815,909
66,FixedSpread,HighVolatility,100.205437,99.750000,100.250000,0.029028,0,6.000000,6.000000,815,898
67,FixedSpread,HighVolatility,100.212733,99.750000,100.250000,0.027724,0,6.000000,6.000000,815,872
68,FixedSpread,HighVolatility,100.168726,99.750000,100.250000,0.028701,0,6.000000,6.000000,794,872
69,FixedSpread,HighVolatility,100.204610,99.750000,100.300000,0.029132,0,6.000000,6.000000,794,871
70,FixedSpread,HighVolatility,100.193608,100.143608,100.243608,0.028044,0,6.000000,6.000000,802,881
71,FixedSpread,HighVolatility,100.219632,100.143608,100.300000,0.027923,-10,1008.436085,6.239760,802,867
72,FixedSpread,HighVolatility,100.173466,99.700000,100.300000,0.029018,0,7.000000,7.000000,770,867
