timestamp,strategy,regime,fair_price,best_bid,best_ask,recent_volatility,inventory,cash,pnl,bid_depth,ask_depth
1,FixedSpread,SellPressure,100.011979,99.950000,100.050000,0.000719,0,0.000000,0.000000,1000,998
2,FixedSpread,SellPressure,100.002156,99.950000,100.050000,0.001265,0,0.000000,0.000000,997,998
3,FixedSpread,SellPressure,99.989245,99.950000,100.050000,0.001964,0,0.000000,0.000000,993,998
4,FixedSpread,SellPressure,99.991330,99.950000,100.050000,0.001971,0,0.000000,0.000000,1003,998
5,FixedSpread,SellPressure,99.993195,99.950000,100.050000,0.001965,0,0.000000,0.000000,1003,1007
6,FixedSpread,SellPressure,99.977505,99.950000,100.050000,0.002788,0,0.000000,0.000000,983,1007
7,FixedSpread,SellPressure,99.967849,99.950000,100.050000,0.003200,0,0.000000,0.000000,972,1007
8,FixedSpread,SellPressure,99.956059,99.950000,100.050000,0.003716,0,0.000000,0.000000,964,1007
9,FixedSpread,SellPressure,99.960139,99.950000,100.050000,0.003737,0,0.000000,0.000000,982,1007
10,FixedSpread,SellPressure,99.952986,99.902986,100.002986,0.003942,0,0.000000,0.000000,976,1017
11,FixedSpread,SellPressure,99.951878,99.902986,100.002986,0.003772,0,0.000000,0.000000,976,1020
12,FixedSpread,SellPressure,99.936908,99.902986,100.002986,0.004444,2,-199.805972,0.067845,974,1020
13,FixedSpread,SellPressure,99.929478,99.900000,100.002986,0.004623,10,-999.029861,0.264918,963,1020
14,FixedSpread,SellPressure,99.926387,99.900000,99.992527,0.004531,10,-999.029861,0.234006,963,1029
15,FixedSpread,SellPressure,99.912185,99.900000,99.992527,0.005112,10,-999.029861,0.091988,958,1029
16,FixedSpread,SellPressure,99.910898,99.900000,99.992527,0.004882,10,-999.029861,0.079120,975,1029
17,FixedSpread,SellPressure,99.909177,99.900000,99.977444,0.004692,10,-999.029861,0.061911,975,1033
18,FixedSpread,SellPressure,99.899678,99.900000,99.977444,0.004981,10,-999.029861,-0.033081,962,1033
19,FixedSpread,SellPressure,99.889572,99.900000,99.977444,0.005288,10,-999.029861,-0.134143,958,1033
20,FixedSpread,SellPressure,99.888335,99.900000,99.938335,0.005045,10,-999.029861,-0.146511,984,1043
21,FixedSpread,SellPressure,99.888670,99.900000,99.938335,0.004763,10,-999.029861,-0.143162,994,1043
22,FixedSpread,SellPressure,99.898384,99.900000,99.938335,0.005060,2,-199.523181,0.273588,994,1035
23,FixedSpread,SellPressure,99.902563,99.900000,99.938335,0.005007,2,-199.523181,0.281946,994,1054
24,FixedSpread,SellPressure,99.911079,99.900000,99.992527,0.005217,0,0.353489,0.353489,994,1048
25,FixedSpread,SellPressure,99.903967,99.900000,99.992527,0.005331,0,0.353489,0.353489,988,1048
26,FixedSpread,SellPressure,99.920637,99.900000,100.002986,0.006011,-2,200.359461,0.518188,988,1037
27,FixedSpread,SellPressure,99.912968,99.900000,100.002986,0.006111,-2,200.359461,0.533526,977,1037
28,FixedSpread,SellPressure,99.905522,99.852325,100.002986,0.006191,-2,200.359461,0.548417,969,1037
29,FixedSpread,SellPressure,99.913502,99.852325,100.002986,0.006298,-5,500.368419,0.800907,969,1034
30,FixedSpread,SellPressure,99.902340,99.852340,99.952340,0.006590,-5,500.368419,0.856721,970,1044
31,FixedSpread,SellPressure,99.889002,99.850000,99.952340,0.006995,5,-498.154977,1.290035,957,1044
32,FixedSpread,SellPressure,99.893908,99.850000,99.952340,0.006870,5,-498.154977,1.314564,957,1062
33,FixedSpread,SellPressure,99.890194,99.850000,99.947536,0.006680,5,-498.154977,1.295996,957,1081
34,FixedSpread,SellPressure,99.904592,99.850000,99.947536,0.007143,5,-498.154977,1.367983,957,1080
35,FixedSpread,SellPressure,99.906284,99.850000,99.947536,0.006816,5,-498.154977,1.376445,957,1095
36,FixedSpread,SellPressure,99.892625,99.850000,99.947536,0.007227,5,-498.154977,1.308151,939,1095
