timestamp,strategy,regime,fair_price,best_bid,best_ask,recent_volatility,inventory,cash,pnl,bid_depth,ask_depth
1,InventoryAndVolatilityAdjusted,Balanced,100.012257,99.950000,100.050000,0.000735,0,0.000000,0.000000,1000,981
2,InventoryAndVolatilityAdjusted,Balanced,100.002700,99.950000,100.050000,0.001265,0,0.000000,0.000000,993,981
3,InventoryAndVolatilityAdjusted,Balanced,100.005434,99.950000,100.050000,0.001353,0,0.000000,0.000000,993,988
4,InventoryAndVolatilityAdjusted,Balanced,100.009120,99.950000,100.050000,0.001493,0,0.000000,0.000000,993,998
5,InventoryAndVolatilityAdjusted,Balanced,100.001572,99.950000,100.050000,0.001856,0,0.000000,0.000000,988,998
6,InventoryAndVolatilityAdjusted,Balanced,100.001872,99.950000,100.015584,0.001763,0,0.000000,0.000000,988,1000
7,InventoryAndVolatilityAdjusted,Balanced,100.004293,99.950000,100.015584,0.001802,0,0.000000,0.000000,998,1000
8,InventoryAndVolatilityAdjusted,Balanced,100.004707,99.950000,100.015584,0.001719,0,0.000000,0.000000,1017,1000
9,InventoryAndVolatilityAdjusted,Balanced,100.012707,99.950000,100.050000,0.002096,0,0.000000,0.000000,1017,992
10,InventoryAndVolatilityAdjusted,Balanced,100.011723,99.958680,100.043651,0.002029,0,0.000000,0.000000,1027,1017
11,InventoryAndVolatilityAdjusted,Balanced,99.997197,99.958680,100.043651,0.002779,4,-399.834719,0.154071,1023,1017
12,InventoryAndVolatilityAdjusted,Balanced,100.001616,99.958680,100.043651,0.002877,4,-399.834719,0.171744,1023,1018
13,InventoryAndVolatilityAdjusted,Balanced,100.006293,99.958680,100.043651,0.002985,4,-399.834719,0.190455,1023,1034
14,InventoryAndVolatilityAdjusted,Balanced,99.998823,99.950000,100.043651,0.003254,10,-999.586798,0.401436,1014,1034
15,InventoryAndVolatilityAdjusted,Balanced,99.988633,99.950000,100.043651,0.003671,10,-999.586798,0.299528,1012,1034
16,InventoryAndVolatilityAdjusted,Balanced,99.989212,99.950000,100.043651,0.003485,10,-999.586798,0.305322,1012,1046
17,InventoryAndVolatilityAdjusted,Balanced,99.975176,99.950000,100.043651,0.004118,10,-999.586798,0.164960,1001,1046
18,InventoryAndVolatilityAdjusted,Balanced,99.960764,99.950000,100.043651,0.004736,10,-999.586798,0.020838,995,1046
19,InventoryAndVolatilityAdjusted,Balanced,99.963165,99.950000,100.001317,0.004596,10,-999.586798,0.044853,995,1059
20,InventoryAndVolatilityAdjusted,Balanced,99.964288,99.950000,100.001317,0.004387,0,-0.086798,-0.086798,998,1059
21,InventoryAndVolatilityAdjusted,Balanced,99.962181,99.950000,100.001317,0.004250,0,-0.086798,-0.086798,1007,1059
22,InventoryAndVolatilityAdjusted,Balanced,99.962698,99.950000,100.001317,0.004026,0,-0.086798,-0.086798,1007,1062
23,InventoryAndVolatilityAdjusted,Balanced,99.958979,99.950000,100.001317,0.004008,0,-0.086798,-0.086798,1017,1062
24,InventoryAndVolatilityAdjusted,Balanced,99.971460,99.950000,100.001317,0.004516,0,-0.086798,-0.086798,1017,1059
25,InventoryAndVolatilityAdjusted,Balanced,99.969579,99.950000,100.001317,0.004358,0,-0.086798,-0.086798,1017,1073
26,InventoryAndVolatilityAdjusted,Balanced,99.967573,99.950000,100.001317,0.004217,0,-0.086798,-0.086798,1017,1076
27,InventoryAndVolatilityAdjusted,Balanced,99.956194,99.950000,100.001317,0.004647,0,-0.086798,-0.086798,1012,1076
28,InventoryAndVolatilityAdjusted,Balanced,99.955576,99.950000,99.992847,0.004405,0,-0.086798,-0.086798,1012,1079
29,InventoryAndVolatilityAdjusted,Balanced,99.956230,99.950000,99.992847,0.004180,0,-0.086798,-0.086798,1012,1096
30,InventoryAndVolatilityAdjusted,Balanced,99.965481,99.950000,100.022207,0.004484,0,-0.086798,-0.086798,1022,1092
31,InventoryAndVolatilityAdjusted,Balanced,99.973112,99.950000,100.022207,0.004673,-2,199.957617,0.011394,1022,1090
32,InventoryAndVolatilityAdjusted,Balanced,99.982721,99.950000,100.043651,0.004969,-10,1000.135275,0.308065,1022,1082
33,InventoryAndVolatilityAdjusted,Balanced,99.970080,99.908754,100.043651,0.005430,-10,1000.135275,0.434474,1002,1082
34,InventoryAndVolatilityAdjusted,Balanced,99.980079,99.908754,100.050000,0.005704,-10,1000.135275,0.334485,1002,1068
35,InventoryAndVolatilityAdjusted,Balanced,99.975445,99.908754,100.050000,0.005640,-10,1000.135275,0.380826,1018,1068
36,InventoryAndVolatilityAdjusted,Balanced,99.985494,99.908754,100.050000,0.005904,-10,1000.135275,0.280331,1018,1049
37,InventoryAndVolatilityAdjusted,Balanced,99.998099,99.908754,100.050000,0.006306,-10,1000.135275,0.154287,1018,1046
38,InventoryAndVolatilityAdjusted,Balanced,99.997118,99.908754,100.050000,0.005987,-10,1000.135275,0.164091,1038,1046
39,InventoryAndVolatilityAdjusted,Balanced,100.007206,99.908754,100.059197,0.006233,-10,1000.135275,0.063219,1038,1034
40,InventoryAndVolatilityAdjusted,Balanced,99.996626,99.936886,100.056366,0.006493,0,1.047730,1.047730,1032,1044
41,InventoryAndVolatilityAdjusted,Balanced,99.985096,99.936886,100.056366,0.006796,3,-298.762927,1.192359,1029,1044
42,InventoryAndVolatilityAdjusted,Balanced,99.999255,99.936886,100.064767,0.007237,-8,801.865502,1.871464,1029,1025
43,InventoryAndVolatilityAdjusted,Balanced,99.996135,99.936886,100.064767,0.006990,-8,801.865502,1.896424,1029,1027
44,InventoryAndVolatilityAdjusted,Balanced,99.984636,99.900000,100.064767,0.007261,-1,102.307300,2.322665,1012,1027
45,InventoryAndVolatilityAdjusted,Balanced,99.989574,99.900000,100.064767,0.007122,-1,102.307300,2.317727,1030,1027
46,InventoryAndVolatilityAdjusted,Balanced,99.978620,99.900000,100.064767,0.007352,-1,102.307300,2.328681,1026,1027
47,InventoryAndVolatilityAdjusted,Balanced,99.968441,99.900000,100.064767,0.007521,-1,102.307300,2.338859,1008,1027
48,InventoryAndVolatilityAdjusted,Balanced,99.980623,99.900000,100.067649,0.007801,-10,1002.890202,3.083975,1008,1017
49,InventoryAndVolatilityAdjusted,Balanced,99.980769,99.900000,100.067649,0.007341,-10,1002.890202,3.082509,1028,1017
50,InventoryAndVolatilityAdjusted,Balanced,99.970458,100.059179,100.067649,0.007520,-10,1002.890202,3.185618,1024,1027
51,InventoryAndVolatilityAdjusted,Balanced,99.979844,100.059179,100.098555,0.007632,-10,1002.890202,3.091762,1024,1009
52,InventoryAndVolatilityAdjusted,Balanced,99.994666,100.059179,100.100000,0.008063,-10,1002.890202,2.943545,1024,1007
53,InventoryAndVolatilityAdjusted,Balanced,99.998073,100.059179,100.100000,0.007784,-10,1002.890202,2.909476,1024,1011
54,InventoryAndVolatilityAdjusted,Balanced,99.982552,99.897330,100.100000,0.008248,0,2.298412,2.298412,1014,1011
55,InventoryAndVolatilityAdjusted,Balanced,99.970024,99.881622,100.100000,0.008505,0,2.298412,2.298412,1005,1011
56,InventoryAndVolatilityAdjusted,Balanced,99.973930,99.913353,100.100000,0.008229,0,2.298412,2.298412,1024,1011
57,InventoryAndVolatilityAdjusted,Balanced,99.974430,99.913353,100.100000,0.007765,0,2.298412,2.298412,1044,1011
58,InventoryAndVolatilityAdjusted,Balanced,99.985101,99.913353,100.100000,0.007939,0,2.298412,2.298412,1044,1005
59,InventoryAndVolatilityAdjusted,Balanced,99.989486,99.972767,100.100000,0.007726,0,2.298412,2.298412,1062,1005
60,InventoryAndVolatilityAdjusted,Balanced,99.997489,99.972767,100.059103,0.007743,0,2.298412,2.298412,1072,1013
61,InventoryAndVolatilityAdjusted,Balanced,99.981000,99.972767,100.059103,0.008267,0,2.298412,2.298412,1056,1013
62,InventoryAndVolatilityAdjusted,Balanced,99.989345,99.972767,100.100000,0.008272,-10,1002.889441,2.995991,1056,1001
63,InventoryAndVolatilityAdjusted,Balanced,99.990852,99.972767,100.100000,0.007866,-10,1002.889441,2.980919,1075,1001
64,InventoryAndVolatilityAdjusted,Balanced,100.007477,99.972767,100.100000,0.008392,-10,1002.889441,2.814670,1075,993
65,InventoryAndVolatilityAdjusted,Balanced,99.992069,99.935875,100.100000,0.008813,-5,503.210067,3.249722,1068,993
66,InventoryAndVolatilityAdjusted,Balanced,99.988176,99.935875,100.100000,0.008518,-5,503.210067,3.269189,1083,993
67,InventoryAndVolatilityAdjusted,Balanced,99.985428,99.935875,100.100000,0.008171,-5,503.210067,3.282929,1088,993
68,InventoryAndVolatilityAdjusted,Balanced,99.994999,99.935875,100.100000,0.008255,-5,503.210067,3.235074,1088,980
69,InventoryAndVolatilityAdjusted,Balanced,99.992023,99.935875,100.100000,0.007939,-5,503.210067,3.249952,1088,981
70,InventoryAndVolatilityAdjusted,Balanced,99.979820,99.977528,100.100000,0.008194,-4,403.274192,3.354914,1097,991
71,InventoryAndVolatilityAdjusted,Balanced,99.979057,99.977528,100.027739,0.007749,-4,403.274192,3.357963,1097,1002
72,InventoryAndVolatilityAdjusted,Balanced,99.969627,99.977528,100.027739,0.007849,-3,303.296664,3.387783,1096,1002
73,InventoryAndVolatilityAdjusted,Balanced,99.979053,99.977528,100.100000,0.007944,-3,303.296664,3.359506,1096,984
74,InventoryAndVolatilityAdjusted,Balanced,99.993276,99.977528,100.100000,0.008321,-3,303.296664,3.316837,1096,980
75,InventoryAndVolatilityAdjusted,Balanced,99.995302,99.977528,100.066612,0.007943,-3,303.296664,3.310760,1096,989
76,InventoryAndVolatilityAdjusted,Balanced,99.997992,99.977528,100.066612,0.007628,-3,303.296664,3.302688,1113,989
77,InventoryAndVolatilityAdjusted,Balanced,99.999892,99.977528,100.066612,0.007284,-3,303.296664,3.296988,1113,991
78,InventoryAndVolatilityAdjusted,Balanced,100.000498,99.977528,100.066612,0.006884,-3,303.296664,3.295170,1124,991
79,InventoryAndVolatilityAdjusted,Balanced,100.013203,99.977528,100.100000,0.007233,-3,303.296664,3.257054,1124,981
80,InventoryAndVolatilityAdjusted,Balanced,100.014354,99.999052,100.066790,0.006868,-3,303.296664,3.253602,1134,994
81,InventoryAndVolatilityAdjusted,Balanced,100.001905,99.977528,100.066790,0.007203,15,-1496.514082,3.514494,1116,994
82,InventoryAndVolatilityAdjusted,Balanced,100.009253,99.977528,100.102111,0.007211,10,-996.003525,4.089003,1116,980
83,InventoryAndVolatilityAdjusted,Balanced,99.998358,99.928085,100.102111,0.007432,15,-1495.724553,4.250819,1105,980
84,InventoryAndVolatilityAdjusted,Balanced,99.994635,99.928085,100.102111,0.007210,15,-1495.724553,4.194978,1122,980
85,InventoryAndVolatilityAdjusted,Balanced,99.998251,99.928085,100.102111,0.006994,15,-1495.724553,4.249218,1142,980
86,InventoryAndVolatilityAdjusted,Balanced,99.987706,99.913353,100.102111,0.007207,15,-1495.724553,4.091041,1127,980
87,InventoryAndVolatilityAdjusted,Balanced,99.987551,99.915731,100.102111,0.006784,15,-1495.724553,4.088713,1144,980
88,InventoryAndVolatilityAdjusted,Balanced,99.990864,99.915731,100.067648,0.006576,15,-1495.724553,4.138400,1144,1000
89,InventoryAndVolatilityAdjusted,Balanced,99.980085,99.915731,100.067648,0.006828,15,-1495.724553,3.976724,1134,1000
90,InventoryAndVolatilityAdjusted,Balanced,99.982779,99.913353,100.067648,0.006580,5,-496.574376,3.339518,1148,1000
91,InventoryAndVolatilityAdjusted,Balanced,99.985286,99.913353,100.067648,0.006336,5,-496.574376,3.352056,1148,1009
92,InventoryAndVolatilityAdjusted,Balanced,100.001712,99.913353,100.067648,0.006941,5,-496.574376,3.434183,1148,993
93,InventoryAndVolatilityAdjusted,Balanced,100.006101,99.913353,100.015949,0.006788,5,-496.574376,3.456127,1148,1009
94,InventoryAndVolatilityAdjusted,Balanced,100.008434,99.913353,100.015949,0.006521,5,-496.574376,3.467793,1167,1009
95,InventoryAndVolatilityAdjusted,Balanced,100.024407,99.913353,100.067648,0.007088,5,-496.574376,3.547657,1167,993
96,InventoryAndVolatilityAdjusted,Balanced,100.026269,99.913353,100.067648,0.006774,5,-496.574376,3.556969,1169,993
97,InventoryAndVolatilityAdjusted,Balanced,100.016153,99.898431,100.067648,0.006975,5,-496.574376,3.506391,1155,993
