timestamp,strategy,regime,fair_price,best_bid,best_ask,recent_volatility,inventory,cash,pnl,bid_depth,ask_depth
1,InventoryAndVolatilityAdjusted,BuyPressure,100.000389,99.950000,100.050000,0.000023,0,0.000000,0.000000,1015,1000
2,InventoryAndVolatilityAdjusted,BuyPressure,99.989663,99.950000,100.050000,0.000665,0,0.000000,0.000000,997,1000
3,InventoryAndVolatilityAdjusted,BuyPressure,99.988038,99.960506,100.050000,0.000723,0,0.000000,0.000000,1006,1000
4,InventoryAndVolatilityAdjusted,BuyPressure,99.995666,99.960506,100.050000,0.001137,0,0.000000,0.000000,1006,988
5,InventoryAndVolatilityAdjusted,BuyPressure,100.004037,99.960506,100.050000,0.001571,0,0.000000,0.000000,1006,973
6,InventoryAndVolatilityAdjusted,BuyPressure,100.003717,99.960506,100.050000,0.001496,0,0.000000,0.000000,1006,988
7,InventoryAndVolatilityAdjusted,BuyPressure,100.001188,99.960506,100.050000,0.001558,0,0.000000,0.000000,1010,988
8,InventoryAndVolatilityAdjusted,BuyPressure,99.989382,99.960506,100.050000,0.002173,0,0.000000,0.000000,1007,988
9,InventoryAndVolatilityAdjusted,BuyPressure,99.997459,99.960506,100.050000,0.002527,0,0.000000,0.000000,1007,969
10,InventoryAndVolatilityAdjusted,BuyPressure,99.982073,99.950000,100.037021,0.003299,0,0.000000,0.000000,1001,979
11,InventoryAndVolatilityAdjusted,BuyPressure,99.995807,99.950000,100.050015,0.003925,-10,1000.370214,0.412139,1001,964
12,InventoryAndVolatilityAdjusted,BuyPressure,100.007907,99.950000,100.100000,0.004415,-10,1000.370214,0.291142,1001,947
13,InventoryAndVolatilityAdjusted,BuyPressure,100.015481,99.950000,100.100000,0.004605,-10,1000.370214,0.215403,1001,945
14,InventoryAndVolatilityAdjusted,BuyPressure,100.032291,99.950000,100.100000,0.005337,-10,1000.370214,0.047306,1001,942
15,InventoryAndVolatilityAdjusted,BuyPressure,100.036354,99.950000,100.100000,0.005261,-10,1000.370214,0.006675,1001,944
