timestamp,strategy,regime,fair_price,best_bid,best_ask,recent_volatility,inventory,cash,pnl,bid_depth,ask_depth
1,InventoryAndVolatilityAdjusted,HighVolatility,99.993181,99.950000,100.050000,0.000409,0,0.000000,0.000000,969,1000
2,InventoryAndVolatilityAdjusted,HighVolatility,100.006932,99.950000,100.050000,0.001210,0,0.000000,0.000000,1000,1000
3,InventoryAndVolatilityAdjusted,HighVolatility,99.986413,99.950000,100.020187,0.002368,0,0.000000,0.000000,1000,1015
4,InventoryAndVolatilityAdjusted,HighVolatility,99.959486,99.950000,100.020187,0.003842,0,0.000000,0.000000,1013,1015
5,InventoryAndVolatilityAdjusted,HighVolatility,99.986488,99.950000,100.050000,0.005231,0,0.000000,0.000000,1013,991
6,InventoryAndVolatilityAdjusted,HighVolatility,100.028477,99.950000,100.050000,0.007437,0,0.000000,0.000000,1013,957
7,InventoryAndVolatilityAdjusted,HighVolatility,100.017845,99.950000,100.050000,0.007629,0,0.000000,0.000000,1013,976
8,InventoryAndVolatilityAdjusted,HighVolatility,100.051847,99.950000,100.100000,0.009211,0,0.000000,0.000000,1013,944
9,InventoryAndVolatilityAdjusted,HighVolatility,100.101745,99.950000,100.100000,0.011652,0,0.000000,0.000000,1013,910
10,InventoryAndVolatilityAdjusted,HighVolatility,100.070363,100.001109,100.100000,0.012836,0,0.000000,0.000000,1008,920
11,InventoryAndVolatilityAdjusted,HighVolatility,100.101848,100.001109,100.100000,0.013955,0,0.000000,0.000000,1008,924
12,InventoryAndVolatilityAdjusted,HighVolatility,100.110062,100.001109,100.100000,0.013610,0,0.000000,0.000000,1008,916
13,InventoryAndVolatilityAdjusted,HighVolatility,100.126982,100.001109,100.139617,0.013809,-8,801.116935,0.101082,1008,906
14,InventoryAndVolatilityAdjusted,HighVolatility,100.129275,100.001109,100.150000,0.013118,-10,1001.396169,0.103414,1008,873
15,InventoryAndVolatilityAdjusted,HighVolatility,100.155582,100.001109,100.200000,0.013909,-10,1001.396169,-0.159653,1008,844
16,InventoryAndVolatilityAdjusted,HighVolatility,100.103248,100.001109,100.200000,0.016215,-5,501.390624,0.874382,1003,844
17,InventoryAndVolatilityAdjusted,HighVolatility,100.118395,100.001109,100.200000,0.016151,-5,501.390624,0.798649,1003,836
18,InventoryAndVolatilityAdjusted,HighVolatility,100.073318,99.950000,100.200000,0.017886,0,1.385078,1.385078,996,836
19,InventoryAndVolatilityAdjusted,HighVolatility,100.022565,99.915820,100.200000,0.019858,0,1.385078,1.385078,967,836
20,InventoryAndVolatilityAdjusted,HighVolatility,100.011304,99.932290,100.090318,0.019343,0,1.385078,1.385078,975,846
21,InventoryAndVolatilityAdjusted,HighVolatility,100.070927,99.932290,100.200000,0.021759,-10,1002.288256,1.578985,975,822
22,InventoryAndVolatilityAdjusted,HighVolatility,100.115084,99.932290,100.250000,0.023103,-10,1002.288256,1.137417,975,792
23,InventoryAndVolatilityAdjusted,HighVolatility,100.112457,99.900000,100.250000,0.021875,0,2.965353,2.965353,955,792
24,InventoryAndVolatilityAdjusted,HighVolatility,100.088068,99.900000,100.250000,0.022025,0,2.965353,2.965353,938,792
25,InventoryAndVolatilityAdjusted,HighVolatility,100.060197,99.900000,100.250000,0.022376,0,2.965353,2.965353,922,792
26,InventoryAndVolatilityAdjusted,HighVolatility,100.013631,99.850000,100.250000,0.023828,0,2.965353,2.965353,895,792
27,InventoryAndVolatilityAdjusted,HighVolatility,100.035340,99.850000,100.250000,0.023700,0,2.965353,2.965353,895,812
28,InventoryAndVolatilityAdjusted,HighVolatility,100.074280,99.850000,100.250000,0.024615,0,2.965353,2.965353,895,804
29,InventoryAndVolatilityAdjusted,HighVolatility,100.066099,99.850000,100.216508,0.023629,0,2.965353,2.965353,895,837
30,InventoryAndVolatilityAdjusted,HighVolatility,100.019331,99.931805,100.106856,0.025017,0,2.965353,2.965353,896,847
31,InventoryAndVolatilityAdjusted,HighVolatility,100.035655,99.931805,100.106856,0.024496,0,2.965353,2.965353,926,847
32,InventoryAndVolatilityAdjusted,HighVolatility,99.979006,99.895204,100.106856,0.026425,10,-996.352695,3.437366,902,847
33,InventoryAndVolatilityAdjusted,HighVolatility,99.990799,99.895204,100.106856,0.025547,10,-996.352695,3.555297,902,871
34,InventoryAndVolatilityAdjusted,HighVolatility,100.045941,99.895204,100.185710,0.027323,0,4.715867,4.715867,902,840
35,InventoryAndVolatilityAdjusted,HighVolatility,100.100709,99.895204,100.216508,0.028969,0,4.715867,4.715867,902,828
36,InventoryAndVolatilityAdjusted,HighVolatility,100.066690,99.850000,100.216508,0.029272,0,4.715867,4.715867,877,828
37,InventoryAndVolatilityAdjusted,HighVolatility,100.092656,99.850000,100.169152,0.029074,0,4.715867,4.715867,877,860
38,InventoryAndVolatilityAdjusted,HighVolatility,100.117317,99.850000,100.169152,0.028809,0,4.715867,4.715867,906,860
39,InventoryAndVolatilityAdjusted,HighVolatility,100.157584,99.850000,100.169152,0.029497,0,4.715867,4.715867,906,841
40,InventoryAndVolatilityAdjusted,HighVolatility,100.120556,100.025634,100.169152,0.029948,0,4.715867,4.715867,910,851
41,InventoryAndVolatilityAdjusted,HighVolatility,100.151433,100.025634,100.215479,0.030004,-4,405.577783,4.972050,910,834
42,InventoryAndVolatilityAdjusted,HighVolatility,100.161382,100.025634,100.215479,0.028801,-4,405.577783,4.932254,910,848
43,InventoryAndVolatilityAdjusted,HighVolatility,100.160111,100.025634,100.215479,0.027149,-4,405.577783,4.937340,933,848
44,InventoryAndVolatilityAdjusted,HighVolatility,100.123254,100.025634,100.215479,0.027731,5,-494.652922,5.963348,924,848
45,InventoryAndVolatilityAdjusted,HighVolatility,100.144228,100.025634,100.139596,0.027326,5,-494.652922,6.068218,924,873
46,InventoryAndVolatilityAdjusted,HighVolatility,100.143017,100.025634,100.139596,0.025759,5,-494.652922,6.062161,924,895
47,InventoryAndVolatilityAdjusted,HighVolatility,100.153896,100.025634,100.139596,0.024866,5,-494.652922,6.116561,924,907
48,InventoryAndVolatilityAdjusted,HighVolatility,100.095419,99.800000,100.139596,0.026883,6,-594.678556,5.893956,889,907
49,InventoryAndVolatilityAdjusted,HighVolatility,100.122729,99.800000,100.139596,0.026909,6,-594.678556,6.057819,889,897
50,InventoryAndVolatilityAdjusted,HighVolatility,100.160321,100.068997,100.216508,0.027550,0,6.614318,6.614318,899,883
51,InventoryAndVolatilityAdjusted,HighVolatility,100.132437,100.068997,100.216508,0.027570,2,-193.523676,6.741199,897,883
52,InventoryAndVolatilityAdjusted,HighVolatility,100.142545,100.068997,100.216508,0.026522,2,-193.523676,6.761415,897,880
53,InventoryAndVolatilityAdjusted,HighVolatility,100.133693,100.068997,100.216508,0.025462,9,-894.006653,7.196586,890,880
54,InventoryAndVolatilityAdjusted,HighVolatility,100.079946,99.800000,100.216508,0.027159,10,-994.075650,6.723811,859,880
55,InventoryAndVolatilityAdjusted,HighVolatility,100.101017,99.800000,100.216508,0.026794,10,-994.075650,6.934523,859,876
56,InventoryAndVolatilityAdjusted,HighVolatility,100.141885,99.800000,100.216508,0.027638,10,-994.075650,7.343204,859,867
57,InventoryAndVolatilityAdjusted,HighVolatility,100.131442,99.750000,100.216508,0.026607,10,-994.075650,7.238771,826,867
58,InventoryAndVolatilityAdjusted,HighVolatility,100.161000,99.750000,100.250000,0.026784,10,-994.075650,7.534348,826,860
59,InventoryAndVolatilityAdjusted,HighVolatility,100.097969,99.750000,100.250000,0.028958,10,-994.075650,6.904043,794,860
60,InventoryAndVolatilityAdjusted,HighVolatility,100.109672,99.867788,100.051557,0.027923,10,-994.075650,7.021072,804,885
61,InventoryAndVolatilityAdjusted,HighVolatility,100.131565,99.867788,100.250000,0.027561,0,6.439918,6.439918,804,874
62,InventoryAndVolatilityAdjusted,HighVolatility,100.079402,99.700000,100.250000,0.029037,10,-992.237958,8.556059,788,874
63,InventoryAndVolatilityAdjusted,HighVolatility,100.064610,99.700000,100.250000,0.028183,10,-992.237958,8.408144,773,874
64,InventoryAndVolatilityAdjusted,HighVolatility,100.087636,99.700000,100.250000,0.027873,10,-992.237958,8.638401,773,872
65,InventoryAndVolatilityAdjusted,HighVolatility,100.108375,99.700000,100.250000,0.027445,10,-992.237958,8.845790,773,881
