timestamp,strategy,regime,fair_price,best_bid,best_ask,recent_volatility,inventory,cash,pnl,bid_depth,ask_depth
1,InventoryAndVolatilityAdjusted,SellPressure,99.989308,99.950000,100.050000,0.000642,0,0.000000,0.000000,992,1000
2,InventoryAndVolatilityAdjusted,SellPressure,100.006179,99.950000,100.050000,0.001615,0,0.000000,0.000000,992,990
3,InventoryAndVolatilityAdjusted,SellPressure,100.021108,99.950000,100.050000,0.002414,0,0.000000,0.000000,992,987
4,InventoryAndVolatilityAdjusted,SellPressure,100.012910,99.950000,100.050000,0.002761,0,0.000000,0.000000,980,987
5,InventoryAndVolatilityAdjusted,SellPressure,100.003081,99.950000,100.050000,0.003185,0,0.000000,0.000000,971,987
6,InventoryAndVolatilityAdjusted,SellPressure,99.994013,99.950000,100.050000,0.003538,0,0.000000,0.000000,970,987
7,InventoryAndVolatilityAdjusted,SellPressure,100.006799,99.950000,100.050000,0.004093,0,0.000000,0.000000,970,975
8,InventoryAndVolatilityAdjusted,SellPressure,99.999191,99.950000,100.050000,0.004304,0,0.000000,0.000000,953,975
9,InventoryAndVolatilityAdjusted,SellPressure,99.990450,99.900000,100.050000,0.004570,0,0.000000,0.000000,935,975
10,InventoryAndVolatilityAdjusted,SellPressure,99.980910,99.923608,100.038213,0.004868,0,0.000000,0.000000,943,985
11,InventoryAndVolatilityAdjusted,SellPressure,99.992070,99.923608,100.050000,0.005246,-10,1000.382129,0.461432,943,969
12,InventoryAndVolatilityAdjusted,SellPressure,99.993989,99.923608,100.050000,0.005046,-10,1000.382129,0.442244,943,980
13,InventoryAndVolatilityAdjusted,SellPressure,99.990213,99.923608,100.043684,0.004970,-10,1000.382129,0.480004,943,987
14,InventoryAndVolatilityAdjusted,SellPressure,100.000389,99.923608,100.050000,0.005282,-10,1000.382129,0.378243,943,976
15,InventoryAndVolatilityAdjusted,SellPressure,99.996548,99.923608,100.050000,0.005196,-10,1000.382129,0.416653,954,976
16,InventoryAndVolatilityAdjusted,SellPressure,99.987245,99.923608,100.050000,0.005442,-9,900.458521,0.573318,953,976
17,InventoryAndVolatilityAdjusted,SellPressure,99.985461,99.923608,99.997947,0.005223,-9,900.458521,0.589377,953,992
18,InventoryAndVolatilityAdjusted,SellPressure,99.999094,99.923608,99.997947,0.005727,-9,900.458521,0.466673,953,986
19,InventoryAndVolatilityAdjusted,SellPressure,100.007062,99.923608,99.997947,0.005862,-9,900.458521,0.394960,953,980
20,InventoryAndVolatilityAdjusted,SellPressure,100.003497,99.923608,100.050000,0.005724,1,-99.833267,0.170230,953,993
21,InventoryAndVolatilityAdjusted,SellPressure,99.988889,99.900000,100.050000,0.006257,10,-999.145738,0.743156,943,993
22,InventoryAndVolatilityAdjusted,SellPressure,99.981140,99.900000,100.050000,0.006347,10,-999.145738,0.665667,927,993
23,InventoryAndVolatilityAdjusted,SellPressure,99.973314,99.900000,100.050000,0.006435,10,-999.145738,0.587406,912,993
24,InventoryAndVolatilityAdjusted,SellPressure,99.964851,99.889877,100.050000,0.006557,10,-999.145738,0.502772,901,993
25,InventoryAndVolatilityAdjusted,SellPressure,99.969400,99.889877,100.050000,0.006437,10,-999.145738,0.548264,901,1012
26,InventoryAndVolatilityAdjusted,SellPressure,99.956803,99.850000,100.050000,0.006806,10,-999.145738,0.422291,885,1012
27,InventoryAndVolatilityAdjusted,SellPressure,99.959201,99.850000,100.050000,0.006542,10,-999.145738,0.446277,892,1012
28,InventoryAndVolatilityAdjusted,SellPressure,99.970288,99.850000,100.100000,0.006814,10,-999.145738,0.557139,892,992
29,InventoryAndVolatilityAdjusted,SellPressure,99.970118,99.850000,100.098415,0.006416,10,-999.145738,0.555447,892,996
30,InventoryAndVolatilityAdjusted,SellPressure,99.977883,99.850000,99.887628,0.006497,10,-999.145738,0.633091,902,987
31,InventoryAndVolatilityAdjusted,SellPressure,99.974316,99.850000,99.887628,0.006321,10,-999.145738,0.597420,902,1006
32,InventoryAndVolatilityAdjusted,SellPressure,99.985527,99.850000,100.100000,0.006614,0,-0.269459,-0.269459,902,996
33,InventoryAndVolatilityAdjusted,SellPressure,99.971471,99.850000,100.100000,0.007061,0,-0.269459,-0.269459,901,996
34,InventoryAndVolatilityAdjusted,SellPressure,99.976095,99.850000,100.100000,0.006914,0,-0.269459,-0.269459,901,1003
35,InventoryAndVolatilityAdjusted,SellPressure,99.986588,99.850000,100.100000,0.007129,0,-0.269459,-0.269459,901,1001
36,InventoryAndVolatilityAdjusted,SellPressure,99.971153,99.850000,100.100000,0.007628,0,-0.269459,-0.269459,900,1001
37,InventoryAndVolatilityAdjusted,SellPressure,99.968517,99.850000,100.034048,0.007328,0,-0.269459,-0.269459,900,1016
38,InventoryAndVolatilityAdjusted,SellPressure,99.967303,99.850000,100.034048,0.006961,0,-0.269459,-0.269459,900,1026
39,InventoryAndVolatilityAdjusted,SellPressure,99.955815,99.850000,100.034048,0.007233,0,-0.269459,-0.269459,881,1026
40,InventoryAndVolatilityAdjusted,SellPressure,99.951281,99.890674,100.011887,0.007071,0,-0.269459,-0.269459,891,1040
41,InventoryAndVolatilityAdjusted,SellPressure,99.964786,99.890674,100.011887,0.007457,-1,99.742428,-0.222358,891,1039
42,InventoryAndVolatilityAdjusted,SellPressure,99.981407,99.890674,100.034048,0.008007,-10,999.849412,0.035344,891,1022
43,InventoryAndVolatilityAdjusted,SellPressure,99.969002,99.890674,100.034048,0.008271,-6,600.286715,0.472700,887,1022
44,InventoryAndVolatilityAdjusted,SellPressure,99.953220,99.850000,100.034048,0.008721,0,0.942669,0.942669,870,1022
45,InventoryAndVolatilityAdjusted,SellPressure,99.949822,99.850000,100.034048,0.008402,0,0.942669,0.942669,870,1032
46,InventoryAndVolatilityAdjusted,SellPressure,99.938058,99.814996,100.034048,0.008604,0,0.942669,0.942669,861,1032
47,InventoryAndVolatilityAdjusted,SellPressure,99.950489,99.814996,100.035773,0.008833,0,0.942669,0.942669,861,1017
48,InventoryAndVolatilityAdjusted,SellPressure,99.953990,99.814996,100.035773,0.008513,0,0.942669,0.942669,861,1035
49,InventoryAndVolatilityAdjusted,SellPressure,99.940078,99.800000,100.035773,0.008837,0,0.942669,0.942669,849,1035
50,InventoryAndVolatilityAdjusted,SellPressure,99.948972,99.885711,100.012233,0.008841,0,0.942669,0.942669,859,1037
51,InventoryAndVolatilityAdjusted,SellPressure,99.952648,99.907290,100.012233,0.008531,0,0.942669,0.942669,867,1037
52,InventoryAndVolatilityAdjusted,SellPressure,99.941988,99.885711,100.012233,0.008659,9,-898.028726,1.449166,850,1037
53,InventoryAndVolatilityAdjusted,SellPressure,99.949623,99.885711,100.012233,0.008597,8,-798.016493,1.580492,850,1036
54,InventoryAndVolatilityAdjusted,SellPressure,99.940881,99.800000,100.012233,0.008606,9,-897.902203,1.565729,833,1036
55,InventoryAndVolatilityAdjusted,SellPressure,99.951387,99.800000,100.012233,0.008720,8,-797.889970,1.721126,833,1035
56,InventoryAndVolatilityAdjusted,SellPressure,99.951183,99.800000,100.012233,0.008209,8,-797.889970,1.719492,833,1047
57,InventoryAndVolatilityAdjusted,SellPressure,99.954213,99.800000,100.012233,0.007898,8,-797.889970,1.743731,851,1047
58,InventoryAndVolatilityAdjusted,SellPressure,99.949244,99.800000,100.012233,0.007722,8,-797.889970,1.703983,851,1051
59,InventoryAndVolatilityAdjusted,SellPressure,99.949705,99.836262,100.012233,0.007287,8,-797.889970,1.707668,857,1051
60,InventoryAndVolatilityAdjusted,SellPressure,99.936827,99.836262,99.878260,0.007622,8,-797.889970,1.604643,865,1061
61,InventoryAndVolatilityAdjusted,SellPressure,99.928521,99.800000,99.878260,0.007663,8,-797.889970,1.538198,856,1061
62,InventoryAndVolatilityAdjusted,SellPressure,99.926288,99.800000,99.878260,0.007337,8,-797.889970,1.520331,856,1071
63,InventoryAndVolatilityAdjusted,SellPressure,99.942544,99.800000,99.878260,0.007873,3,-298.498671,1.328961,856,1066
64,InventoryAndVolatilityAdjusted,SellPressure,99.944174,99.800000,99.878260,0.007498,3,-298.498671,1.333850,856,1083
65,InventoryAndVolatilityAdjusted,SellPressure,99.944994,99.800000,99.878260,0.007097,3,-298.498671,1.336313,856,1099
66,InventoryAndVolatilityAdjusted,SellPressure,99.935256,99.800000,99.878260,0.007256,3,-298.498671,1.307096,849,1099
67,InventoryAndVolatilityAdjusted,SellPressure,99.923976,99.768215,99.878260,0.007497,3,-298.498671,1.273258,838,1099
68,InventoryAndVolatilityAdjusted,SellPressure,99.924042,99.768215,99.878260,0.007051,3,-298.498671,1.273454,838,1113
69,InventoryAndVolatilityAdjusted,SellPressure,99.908100,99.768138,99.878260,0.007585,5,-498.034946,1.505553,818,1113
70,InventoryAndVolatilityAdjusted,SellPressure,99.899651,99.750000,99.878260,0.007637,13,-1296.196230,2.499231,807,1113
71,InventoryAndVolatilityAdjusted,SellPressure,99.888674,99.750000,99.878260,0.007837,13,-1296.196230,2.356534,806,1113
72,InventoryAndVolatilityAdjusted,SellPressure,99.888087,99.830455,99.878260,0.007402,13,-1296.196230,2.348907,817,1113
73,InventoryAndVolatilityAdjusted,SellPressure,99.874101,99.750000,99.878260,0.007797,13,-1296.196230,2.167081,801,1113
74,InventoryAndVolatilityAdjusted,SellPressure,99.878804,99.811942,99.878260,0.007611,13,-1296.196230,2.228224,807,1113
75,InventoryAndVolatilityAdjusted,SellPressure,99.878150,99.811942,99.878260,0.007194,13,-1296.196230,2.219717,807,1121
76,InventoryAndVolatilityAdjusted,SellPressure,99.889545,99.811942,99.878260,0.007446,11,-1096.439710,2.345282,807,1119
77,InventoryAndVolatilityAdjusted,SellPressure,99.873666,99.750000,99.878260,0.007952,11,-1096.439710,2.170614,796,1119
78,InventoryAndVolatilityAdjusted,SellPressure,99.858018,99.750000,99.878260,0.008414,11,-1096.439710,1.998493,786,1119
79,InventoryAndVolatilityAdjusted,SellPressure,99.842032,99.750000,99.878260,0.008868,11,-1096.439710,1.822643,779,1119
80,InventoryAndVolatilityAdjusted,SellPressure,99.839487,99.750000,99.878260,0.008489,1,-98.939710,0.899777,779,1126
81,InventoryAndVolatilityAdjusted,SellPressure,99.822597,99.750000,99.878260,0.008993,1,-98.939710,0.882887,776,1126
82,InventoryAndVolatilityAdjusted,SellPressure,99.838196,99.750000,99.940674,0.009389,-2,200.695070,1.018678,776,1116
83,InventoryAndVolatilityAdjusted,SellPressure,99.838992,99.750000,99.936204,0.008874,-2,200.695070,1.017086,776,1123
84,InventoryAndVolatilityAdjusted,SellPressure,99.822538,99.750000,99.936204,0.009328,-2,200.695070,1.049993,774,1123
85,InventoryAndVolatilityAdjusted,SellPressure,99.830253,99.750000,99.984458,0.009232,-2,200.695070,1.034565,774,1105
86,InventoryAndVolatilityAdjusted,SellPressure,99.838430,99.750000,99.992921,0.009168,-2,200.695070,1.018211,774,1097
87,InventoryAndVolatilityAdjusted,SellPressure,99.823716,99.700000,99.992921,0.009501,-2,200.695070,1.047637,756,1097
88,InventoryAndVolatilityAdjusted,SellPressure,99.820587,99.700000,99.990771,0.009119,-2,200.695070,1.053896,756,1099
89,InventoryAndVolatilityAdjusted,SellPressure,99.816365,99.799157,99.990771,0.008825,-2,200.695070,1.062339,767,1099
90,InventoryAndVolatilityAdjusted,SellPressure,99.805657,99.772250,99.899064,0.008938,-2,200.695070,1.083756,766,1109
91,InventoryAndVolatilityAdjusted,SellPressure,99.809213,99.772250,99.899064,0.008615,-2,200.695070,1.076643,776,1109
92,InventoryAndVolatilityAdjusted,SellPressure,99.794798,99.700000,99.899064,0.008963,8,-797.027430,1.330950,763,1109
93,InventoryAndVolatilityAdjusted,SellPressure,99.799789,99.700000,99.899064,0.008725,8,-797.027430,1.370885,763,1115
94,InventoryAndVolatilityAdjusted,SellPressure,99.797129,99.700000,99.899064,0.008361,8,-797.027430,1.349602,763,1119
95,InventoryAndVolatilityAdjusted,SellPressure,99.792769,99.700000,99.886266,0.008121,8,-797.027430,1.314725,763,1138
96,InventoryAndVolatilityAdjusted,SellPressure,99.778057,99.700000,99.886266,0.008516,8,-797.027430,1.197028,747,1138
97,InventoryAndVolatilityAdjusted,SellPressure,99.794465,99.700000,99.886266,0.008990,8,-797.027430,1.328290,747,1127
98,InventoryAndVolatilityAdjusted,SellPressure,99.805348,99.700000,99.899064,0.009103,7,-697.128366,1.509069,747,1118
99,InventoryAndVolatilityAdjusted,SellPressure,99.815342,99.700000,99.964195,0.009157,-2,201.963206,2.332522,747,1100
100,InventoryAndVolatilityAdjusted,SellPressure,99.814258,99.781249,99.855187,0.008672,-2,201.963206,2.334690,757,1127
101,InventoryAndVolatilityAdjusted,SellPressure,99.812578,99.781249,99.840728,0.008253,-2,201.963206,2.338050,757,1142
