timestamp,strategy,regime,fair_price,best_bid,best_ask,recent_volatility,inventory,cash,pnl,bid_depth,ask_depth
1,InventorySkew,Balanced,99.989833,99.950000,100.050000,0.000610,0,0.000000,0.000000,981,1000
2,InventorySkew,Balanced,99.974665,99.950000,100.050000,0.001484,0,0.000000,0.000000,962,1000
3,InventorySkew,Balanced,99.974087,99.950000,100.050000,0.001429,0,0.000000,0.000000,962,1007
4,InventorySkew,Balanced,99.972713,99.950000,100.020999,0.001426,0,0.000000,0.000000,962,1011
5,InventorySkew,Balanced,99.962322,99.950000,100.020999,0.001964,0,0.000000,0.000000,956,1011
6,InventorySkew,Balanced,99.949530,99.900000,100.020999,0.002613,0,0.000000,0.000000,944,1011
7,InventorySkew,Balanced,99.953490,99.930753,100.020999,0.002694,0,0.000000,0.000000,955,1011
8,InventorySkew,Balanced,99.945889,99.930753,100.020999,0.002989,0,0.000000,0.000000,946,1011
9,InventorySkew,Balanced,99.948425,99.930753,100.020999,0.002961,0,0.000000,0.000000,946,1015
10,InventorySkew,Balanced,99.945091,99.930753,99.995091,0.002984,0,0.000000,0.000000,956,1032
11,InventorySkew,Balanced,99.946826,99.930753,99.995091,0.002909,0,0.000000,0.000000,956,1048
12,InventorySkew,Balanced,99.933025,99.900000,99.995091,0.003562,0,0.000000,0.000000,940,1048
13,InventorySkew,Balanced,99.947218,99.900000,100.027098,0.004200,-10,999.950910,0.478725,940,1032
14,InventorySkew,Balanced,99.935437,99.900000,100.027098,0.004655,-10,999.950910,0.596540,930,1032
15,InventorySkew,Balanced,99.952333,99.900000,100.050000,0.005390,-10,999.950910,0.427577,930,1013
16,InventorySkew,Balanced,99.942676,99.900000,100.050000,0.005646,-10,999.950910,0.524145,927,1013
17,InventorySkew,Balanced,99.938334,99.900000,100.050000,0.005567,-10,999.950910,0.567566,927,1027
18,InventorySkew,Balanced,99.933387,99.900000,100.049090,0.005530,-10,999.950910,0.617037,927,1044
19,InventorySkew,Balanced,99.930904,99.900000,99.967806,0.005347,-10,999.950910,0.641872,927,1046
20,InventorySkew,Balanced,99.931870,100.031870,100.049090,0.005085,-8,800.015297,0.560333,939,1054
21,InventorySkew,Balanced,99.919508,99.900000,100.049090,0.005521,0,-0.239667,-0.239667,921,1054
22,InventorySkew,Balanced,99.908575,99.900000,100.049090,0.005846,0,-0.239667,-0.239667,920,1054
23,InventorySkew,Balanced,99.922545,99.900000,100.050000,0.006333,0,-0.239667,-0.239667,920,1034
24,InventorySkew,Balanced,99.921223,99.900000,100.050000,0.006033,0,-0.239667,-0.239667,922,1034
25,InventorySkew,Balanced,99.912773,99.850000,100.050000,0.006178,10,-999.190576,-0.062842,903,1034
26,InventorySkew,Balanced,99.903220,99.850000,100.050000,0.006380,10,-999.190576,-0.158381,890,1034
27,InventorySkew,Balanced,99.886798,99.850000,100.050000,0.006983,10,-999.190576,-0.322597,887,1034
28,InventorySkew,Balanced,99.895779,99.850000,100.050000,0.007103,10,-999.190576,-0.232783,887,1029
29,InventorySkew,Balanced,99.909317,99.850000,100.050000,0.007489,10,-999.190576,-0.097407,887,1012
30,InventorySkew,Balanced,99.912444,99.850000,100.050000,0.007227,0,-0.690576,-0.690576,890,1012
31,InventorySkew,Balanced,99.915065,99.850000,100.050000,0.006951,0,-0.690576,-0.690576,893,1012
32,InventorySkew,Balanced,99.926517,99.850000,100.079433,0.007221,0,-0.690576,-0.690576,893,1001
33,InventorySkew,Balanced,99.909688,99.850000,100.079433,0.007797,0,-0.690576,-0.690576,890,1001
34,InventorySkew,Balanced,99.909760,99.850000,99.967210,0.007334,0,-0.690576,-0.690576,890,1002
35,InventorySkew,Balanced,99.925931,99.850000,100.079433,0.007864,0,-0.690576,-0.690576,890,995
36,InventorySkew,Balanced,99.930629,99.868682,100.079433,0.007674,0,-0.690576,-0.690576,893,995
37,InventorySkew,Balanced,99.921247,99.850000,100.079433,0.007776,0,-0.690576,-0.690576,874,995
38,InventorySkew,Balanced,99.929435,99.850000,100.097353,0.007801,0,-0.690576,-0.690576,874,992
39,InventorySkew,Balanced,99.925442,99.872656,100.097353,0.007573,0,-0.690576,-0.690576,882,992
40,InventorySkew,Balanced,99.924349,99.874349,99.974349,0.007184,0,-0.690576,-0.690576,912,1002
41,InventorySkew,Balanced,99.925698,99.874349,99.974349,0.006834,0,-0.690576,-0.690576,916,1002
42,InventorySkew,Balanced,99.912960,99.874349,99.974349,0.007188,1,-100.564926,-0.651966,915,1002
43,InventorySkew,Balanced,99.912025,99.874349,99.974349,0.006813,1,-100.564926,-0.652900,915,1007
44,InventorySkew,Balanced,99.912283,99.874349,99.974349,0.006419,1,-100.564926,-0.652643,917,1007
45,InventorySkew,Balanced,99.926695,99.874349,100.097353,0.006899,-9,899.178567,-0.161686,917,988
46,InventorySkew,Balanced,99.911271,99.872656,100.097353,0.007410,0,0.309424,0.309424,908,988
47,InventorySkew,Balanced,99.899229,99.872656,100.097353,0.007688,0,0.309424,0.309424,907,988
48,InventorySkew,Balanced,99.897722,99.872656,100.097353,0.007317,0,0.309424,0.309424,914,988
49,InventorySkew,Balanced,99.899217,99.872656,100.097353,0.006968,0,0.309424,0.309424,921,988
50,InventorySkew,Balanced,99.912695,99.872656,99.962695,0.007359,0,0.309424,0.309424,931,984
51,InventorySkew,Balanced,99.922667,99.872656,99.962695,0.007515,-5,500.122900,0.509565,931,979
52,InventorySkew,Balanced,99.934572,99.872656,100.100000,0.007779,-10,999.936377,0.590652,931,971
53,InventorySkew,Balanced,99.949707,99.872656,100.100000,0.008220,-10,999.936377,0.439305,931,968
54,InventorySkew,Balanced,99.946132,99.872656,100.093927,0.007942,-10,999.936377,0.475059,931,988
55,InventorySkew,Balanced,99.942372,99.872656,99.961918,0.007691,-10,999.936377,0.512653,931,990
56,InventorySkew,Balanced,99.942735,99.889505,99.961918,0.007251,-10,999.936377,0.509029,951,990
57,InventorySkew,Balanced,99.928734,99.889505,99.961918,0.007656,-10,999.936377,0.649036,945,990
58,InventorySkew,Balanced,99.942229,99.889505,100.093927,0.008006,-10,999.936377,0.514083,945,985
59,InventorySkew,Balanced,99.933365,99.889505,100.093927,0.008058,-10,999.936377,0.602730,932,985
60,InventorySkew,Balanced,99.918552,99.913552,100.013552,0.008463,-3,300.897509,1.141853,925,995
61,InventorySkew,Balanced,99.917106,99.913552,100.013552,0.008042,-3,300.897509,1.146190,931,995
62,InventorySkew,Balanced,99.933607,99.913552,100.013552,0.008550,-7,700.951718,1.416465,931,991
63,InventorySkew,Balanced,99.930404,99.913552,100.013552,0.008229,-7,700.951718,1.438891,931,994
64,InventorySkew,Balanced,99.942324,99.913552,100.093927,0.008450,-13,1301.033030,1.782822,931,982
65,InventorySkew,Balanced,99.958092,99.913552,100.100000,0.008889,-13,1301.033030,1.577837,931,962
66,InventorySkew,Balanced,99.967445,99.913552,100.100000,0.008917,-13,1301.033030,1.456248,931,946
67,InventorySkew,Balanced,99.971798,99.913552,100.100000,0.008643,-13,1301.033030,1.399653,931,950
68,InventorySkew,Balanced,99.963119,99.850000,100.100000,0.008646,0,2.309424,2.309424,915,950
69,InventorySkew,Balanced,99.948484,99.800000,100.100000,0.009005,0,2.309424,2.309424,897,950
70,InventorySkew,Balanced,99.938069,99.888069,99.988069,0.009089,0,2.309424,2.309424,904,960
71,InventorySkew,Balanced,99.938064,99.888069,99.981820,0.008544,0,2.309424,2.309424,904,971
72,InventorySkew,Balanced,99.948064,99.888069,99.988069,0.008632,-1,102.297493,2.349429,904,959
73,InventorySkew,Balanced,99.951481,99.888069,99.988069,0.008319,-1,102.297493,2.346012,904,971
74,InventorySkew,Balanced,99.946911,99.888069,99.988069,0.008094,-1,102.297493,2.350582,904,987
75,InventorySkew,Balanced,99.932761,99.888069,99.988069,0.008457,7,-696.807063,2.722264,896,987
76,InventorySkew,Balanced,99.931465,99.888069,99.983366,0.008028,7,-696.807063,2.713190,896,1004
77,InventorySkew,Balanced,99.933331,99.888069,99.983366,0.007658,7,-696.807063,2.726252,902,1004
78,InventorySkew,Balanced,99.918418,99.800000,99.983366,0.008093,9,-896.583202,2.682559,885,1004
79,InventorySkew,Balanced,99.901562,99.800000,99.983366,0.008619,9,-896.583202,2.530857,879,1004
80,InventorySkew,Balanced,99.886910,99.800000,99.801910,0.008981,9,-896.583202,2.398991,875,1014
81,InventorySkew,Balanced,99.887311,99.808741,99.983366,0.008466,-1,101.435901,1.548590,881,1004
82,InventorySkew,Balanced,99.903522,99.808741,99.983366,0.008931,-1,101.435901,1.532379,881,989
83,InventorySkew,Balanced,99.888054,99.795198,99.983366,0.009323,-1,101.435901,1.547847,863,989
84,InventorySkew,Balanced,99.892135,99.795198,99.983366,0.009008,-1,101.435901,1.543766,863,1001
85,InventorySkew,Balanced,99.880298,99.787788,99.983366,0.009178,-1,101.435901,1.555603,847,1001
86,InventorySkew,Balanced,99.864017,99.787788,99.983366,0.009604,-1,101.435901,1.571884,845,1001
87,InventorySkew,Balanced,99.863016,99.787788,99.881817,0.009088,-1,101.435901,1.572885,845,1016
88,InventorySkew,Balanced,99.873535,99.787788,99.881817,0.009174,-1,101.435901,1.562366,845,1012
89,InventorySkew,Balanced,99.881777,99.787788,99.988069,0.009118,-5,501.388179,1.979296,845,995
90,InventorySkew,Balanced,99.879908,99.904908,99.988069,0.008683,-5,501.388179,1.988639,855,1025
91,InventorySkew,Balanced,99.871796,99.904908,99.988069,0.008649,0,1.863639,1.863639,850,1025
92,InventorySkew,Balanced,99.855257,99.777732,99.988069,0.009122,5,-497.660900,1.615383,836,1025
93,InventorySkew,Balanced,99.855300,99.777732,99.873017,0.008578,5,-497.660900,1.615599,836,1029
94,InventorySkew,Balanced,99.839053,99.770247,99.873017,0.009038,5,-497.660900,1.534365,829,1029
95,InventorySkew,Balanced,99.823595,99.750000,99.873017,0.009423,5,-497.660900,1.457074,811,1029
96,InventorySkew,Balanced,99.840186,99.750000,99.988069,0.009853,2,-197.696692,1.983681,811,1022
97,InventorySkew,Balanced,99.856295,99.750000,100.004908,0.010228,-2,202.289263,2.576673,811,1018
98,InventorySkew,Balanced,99.869622,99.750000,100.004908,0.010414,-6,602.308895,3.091163,811,1014
99,InventorySkew,Balanced,99.872854,99.750000,100.004908,0.009983,-6,602.308895,3.071773,812,1014
100,InventorySkew,Balanced,99.863050,99.903050,100.003050,0.009973,-6,602.308895,3.130595,809,1024
101,InventorySkew,Balanced,99.877556,99.903050,100.003050,0.010245,-9,902.318044,3.420038,809,1021
102,InventorySkew,Balanced,99.865084,99.750000,100.003050,0.010378,1,-96.712455,3.152630,797,1021
103,InventorySkew,Balanced,99.848284,99.750000,100.003050,0.010764,1,-96.712455,3.135829,793,1021
104,InventorySkew,Balanced,99.858413,99.750000,100.017616,0.010726,-10,1003.328526,4.744396,793,1001
105,InventorySkew,Balanced,99.865482,99.750000,100.017616,0.010506,-10,1003.328526,4.673705,793,995
106,InventorySkew,Balanced,99.877020,99.750000,100.035648,0.010568,-10,1003.328526,4.558322,793,985
107,InventorySkew,Balanced,99.860364,99.750000,100.035648,0.010933,-10,1003.328526,4.724883,790,985
108,InventorySkew,Balanced,99.857981,99.750000,99.971526,0.010420,-10,1003.328526,4.748712,790,998
109,InventorySkew,Balanced,99.849227,99.741262,99.971526,0.010320,-10,1003.328526,4.836260,775,998
110,InventorySkew,Balanced,99.846201,99.946201,99.971526,0.009883,-10,1003.328526,4.866514,785,1014
111,InventorySkew,Balanced,99.858340,99.946201,99.989865,0.010018,-10,1003.328526,4.745124,785,999
112,InventorySkew,Balanced,99.859271,99.946201,99.968887,0.009473,-10,1003.328526,4.735813,785,1004
113,InventorySkew,Balanced,99.872570,99.946201,100.035648,0.009702,-10,1003.328526,4.602829,785,989
114,InventorySkew,Balanced,99.881012,99.946201,100.053013,0.009627,-20,2003.790539,6.170298,785,973
115,InventorySkew,Balanced,99.868358,99.712444,100.053013,0.009808,-6,605.478751,6.268601,766,973
116,InventorySkew,Balanced,99.859113,99.701910,100.053013,0.009775,9,-890.113105,8.618913,751,973
117,InventorySkew,Balanced,99.874448,99.701910,100.065739,0.010108,9,-890.113105,8.756923,751,958
118,InventorySkew,Balanced,99.878156,99.711131,100.065739,0.009724,9,-890.113105,8.790294,754,958
119,InventorySkew,Balanced,99.880664,99.711131,100.006084,0.009291,9,-890.113105,8.812872,754,974
120,InventorySkew,Balanced,99.878458,99.711131,99.793458,0.008866,9,-890.113105,8.793012,784,984
121,InventorySkew,Balanced,99.874707,99.711131,99.793458,0.008559,5,-490.939275,8.434259,784,980
122,InventorySkew,Balanced,99.860139,99.700000,99.793458,0.008920,6,-590.641186,8.519648,779,980
123,InventorySkew,Balanced,99.870909,99.700000,99.793458,0.009031,5,-490.847728,8.506818,779,979
124,InventorySkew,Balanced,99.887064,99.700000,99.793458,0.009458,4,-391.054270,8.493985,779,978
125,InventorySkew,Balanced,99.887280,99.700000,99.793458,0.008904,2,-191.467355,8.307204,779,976
126,InventorySkew,Balanced,99.874938,99.700000,99.793458,0.009110,2,-191.467355,8.282521,761,976
127,InventorySkew,Balanced,99.888712,99.700000,99.793458,0.009390,1,-91.673898,8.214814,761,975
