timestamp,strategy,regime,fair_price,best_bid,best_ask,recent_volatility,inventory,cash,pnl,bid_depth,ask_depth
1,InventorySkew,BuyPressure,100.008393,99.950000,100.050000,0.000504,0,0.000000,0.000000,1000,988
2,InventorySkew,BuyPressure,99.996804,99.950000,100.050000,0.001169,0,0.000000,0.000000,987,988
3,InventorySkew,BuyPressure,100.008045,99.950000,100.050000,0.001773,0,0.000000,0.000000,987,983
4,InventorySkew,BuyPressure,99.994006,99.950000,100.050000,0.002509,0,0.000000,0.000000,983,983
5,InventorySkew,BuyPressure,99.984216,99.950000,100.050000,0.002946,0,0.000000,0.000000,976,983
6,InventorySkew,BuyPressure,99.968974,99.950000,100.050000,0.003684,0,0.000000,0.000000,974,983
7,InventorySkew,BuyPressure,99.982048,99.950000,100.050000,0.004247,0,0.000000,0.000000,974,963
8,InventorySkew,BuyPressure,99.978568,99.950000,100.050000,0.004201,0,0.000000,0.000000,980,963
9,InventorySkew,BuyPressure,99.993797,99.950000,100.100000,0.004863,0,0.000000,0.000000,980,949
10,InventorySkew,BuyPressure,100.005489,99.955489,100.055489,0.005273,0,0.000000,0.000000,990,956
11,InventorySkew,BuyPressure,100.016945,99.955489,100.100000,0.005644,-10,1000.554892,0.385444,990,937
12,InventorySkew,BuyPressure,100.019778,99.955489,100.100000,0.005475,-10,1000.554892,0.357117,990,957
13,InventorySkew,BuyPressure,100.030940,99.955489,100.100000,0.005816,-10,1000.554892,0.245494,990,954
14,InventorySkew,BuyPressure,100.018288,99.955489,100.100000,0.006226,-7,700.688425,0.560412,987,954
15,InventorySkew,BuyPressure,100.021209,99.955489,100.075470,0.006028,-7,700.688425,0.539961,987,956
16,InventorySkew,BuyPressure,100.034100,99.955489,100.100000,0.006440,-7,700.688425,0.449726,987,943
17,InventorySkew,BuyPressure,100.049674,99.955489,100.100000,0.006988,-7,700.688425,0.340705,987,923
18,InventorySkew,BuyPressure,100.045014,99.955489,100.100000,0.006848,-7,700.688425,0.373323,987,930
19,InventorySkew,BuyPressure,100.057434,99.955489,100.150000,0.007182,-7,700.688425,0.286385,987,913
20,InventorySkew,BuyPressure,100.045584,100.025584,100.125584,0.007463,-2,200.910978,0.819811,992,923
21,InventorySkew,BuyPressure,100.055962,100.025584,100.150000,0.007637,-12,1202.166818,1.495274,992,903
22,InventorySkew,BuyPressure,100.067777,100.025584,100.150000,0.007888,-12,1202.166818,1.353488,992,900
23,InventorySkew,BuyPressure,100.078824,100.025584,100.150000,0.008078,-12,1202.166818,1.220932,992,892
24,InventorySkew,BuyPressure,100.095257,100.025584,100.150000,0.008579,-12,1202.166818,1.023736,992,885
25,InventorySkew,BuyPressure,100.097711,100.025584,100.150000,0.008211,-12,1202.166818,0.994290,994,885
26,InventorySkew,BuyPressure,100.094258,100.025584,100.150000,0.007926,-12,1202.166818,1.035716,994,890
27,InventorySkew,BuyPressure,100.092142,100.025584,100.144852,0.007577,-12,1202.166818,1.061115,994,891
28,InventorySkew,BuyPressure,100.105785,100.025584,100.180260,0.007941,-12,1202.166818,0.897397,994,878
29,InventorySkew,BuyPressure,100.110322,100.025584,100.180260,0.007737,-12,1202.166818,0.842959,1004,878
30,InventorySkew,BuyPressure,100.120235,100.025584,100.196948,0.007868,-2,200.197335,-0.043134,1004,874
31,InventorySkew,BuyPressure,100.131762,100.025584,100.200000,0.008087,-2,200.197335,-0.066188,1004,863
32,InventorySkew,BuyPressure,100.140548,100.025584,100.200000,0.008129,-2,200.197335,-0.083760,1004,850
33,InventorySkew,BuyPressure,100.129205,100.025584,100.200000,0.008322,7,-700.032921,0.871518,995,850
34,InventorySkew,BuyPressure,100.119248,99.950000,100.200000,0.008420,10,-999.969483,1.222994,986,850
35,InventorySkew,BuyPressure,100.123324,99.953531,100.200000,0.008159,10,-999.969483,1.263761,997,850
36,InventorySkew,BuyPressure,100.107640,99.950000,100.200000,0.008611,10,-999.969483,1.106918,979,850
37,InventorySkew,BuyPressure,100.117343,99.950000,100.200000,0.008676,10,-999.969483,1.203948,979,840
38,InventorySkew,BuyPressure,100.121459,99.950000,100.200000,0.008403,10,-999.969483,1.245107,979,844
39,InventorySkew,BuyPressure,100.134453,99.950000,100.200000,0.008678,10,-999.969483,1.375052,979,829
40,InventorySkew,BuyPressure,100.129661,99.950000,100.029661,0.008445,10,-999.969483,1.327132,989,856
41,InventorySkew,BuyPressure,100.138088,99.950000,100.200000,0.008444,0,0.327132,0.327132,989,844
42,InventorySkew,BuyPressure,100.153468,99.950000,100.200000,0.008860,0,0.327132,0.327132,989,840
43,InventorySkew,BuyPressure,100.157703,99.950000,100.169251,0.008583,0,0.327132,0.327132,989,846
44,InventorySkew,BuyPressure,100.159366,100.140181,100.169251,0.008167,0,0.327132,0.327132,996,846
45,InventorySkew,BuyPressure,100.170981,100.140181,100.200000,0.008374,0,0.327132,0.327132,996,837
46,InventorySkew,BuyPressure,100.167185,100.140181,100.200000,0.008100,0,0.327132,0.327132,996,842
47,InventorySkew,BuyPressure,100.168489,100.140181,100.200000,0.007692,0,0.327132,0.327132,1008,842
48,InventorySkew,BuyPressure,100.154209,100.086337,100.200000,0.008087,0,0.327132,0.327132,993,842
49,InventorySkew,BuyPressure,100.144532,99.950000,100.200000,0.008183,0,0.327132,0.327132,986,842
50,InventorySkew,BuyPressure,100.131187,100.081187,100.181187,0.008492,0,0.327132,0.327132,981,852
51,InventorySkew,BuyPressure,100.147359,100.081187,100.200000,0.008953,-10,1002.139006,0.665417,981,842
52,InventorySkew,BuyPressure,100.136810,100.081187,100.200000,0.009049,-9,902.057819,0.826526,980,842
53,InventorySkew,BuyPressure,100.132453,100.087283,100.200000,0.008767,-9,902.057819,0.865739,992,842
54,InventorySkew,BuyPressure,100.122597,100.087283,100.200000,0.008833,-9,902.057819,0.954444,988,842
55,InventorySkew,BuyPressure,100.130651,100.087283,100.211862,0.008786,-9,902.057819,0.881962,988,840
56,InventorySkew,BuyPressure,100.134843,100.087283,100.211862,0.008510,-9,902.057819,0.844231,1008,840
57,InventorySkew,BuyPressure,100.138626,100.087283,100.211862,0.008227,-9,902.057819,0.810185,1008,860
58,InventorySkew,BuyPressure,100.149958,100.087283,100.221977,0.008413,-9,902.057819,0.708196,1008,843
59,InventorySkew,BuyPressure,100.147250,100.087283,100.221977,0.008071,-9,902.057819,0.732572,1023,843
60,InventorySkew,BuyPressure,100.157042,100.242042,100.250000,0.008174,-9,902.057819,0.644438,1033,844
61,InventorySkew,BuyPressure,100.165314,100.242042,100.250000,0.008180,-9,902.057819,0.569990,1033,842
62,InventorySkew,BuyPressure,100.160908,100.242042,100.250000,0.007953,-9,902.057819,0.609643,1042,842
63,InventorySkew,BuyPressure,100.160360,100.242042,100.250000,0.007509,-9,902.057819,0.614579,1057,842
64,InventorySkew,BuyPressure,100.157268,100.242042,100.250000,0.007244,-9,902.057819,0.642405,1065,842
65,InventorySkew,BuyPressure,100.148395,100.081187,100.250000,0.007342,2,-200.443792,-0.147002,1046,842
66,InventorySkew,BuyPressure,100.163207,100.081187,100.250000,0.007790,2,-200.443792,-0.117378,1046,840
67,InventorySkew,BuyPressure,100.153586,100.077381,100.250000,0.007900,10,-1001.093292,0.442568,1038,840
68,InventorySkew,BuyPressure,100.143421,100.077381,100.250000,0.008036,10,-1001.093292,0.340917,1032,840
69,InventorySkew,BuyPressure,100.157299,100.077381,100.250000,0.008386,10,-1001.093292,0.479694,1032,821
70,InventorySkew,BuyPressure,100.146879,100.069807,100.250000,0.008508,0,-0.387645,-0.387645,1030,821
71,InventorySkew,BuyPressure,100.142537,100.069807,100.250000,0.008258,0,-0.387645,-0.387645,1049,821
72,InventorySkew,BuyPressure,100.150712,100.069807,100.250000,0.008253,0,-0.387645,-0.387645,1049,809
73,InventorySkew,BuyPressure,100.165758,100.069807,100.250000,0.008661,0,-0.387645,-0.387645,1049,798
74,InventorySkew,BuyPressure,100.167309,100.069807,100.250000,0.008234,0,-0.387645,-0.387645,1066,798
75,InventorySkew,BuyPressure,100.164706,100.069807,100.250000,0.007896,0,-0.387645,-0.387645,1071,798
76,InventorySkew,BuyPressure,100.161273,100.069807,100.240889,0.007629,0,-0.387645,-0.387645,1071,809
77,InventorySkew,BuyPressure,100.168689,100.069807,100.263942,0.007616,0,-0.387645,-0.387645,1071,791
78,InventorySkew,BuyPressure,100.171735,100.069807,100.263942,0.007342,0,-0.387645,-0.387645,1077,791
79,InventorySkew,BuyPressure,100.157107,100.054988,100.263942,0.007779,0,-0.387645,-0.387645,1061,791
80,InventorySkew,BuyPressure,100.166808,100.116808,100.216808,0.007894,0,-0.387645,-0.387645,1071,783
81,InventorySkew,BuyPressure,100.179381,100.116808,100.300000,0.008175,-10,1001.780436,-0.013374,1071,770
82,InventorySkew,BuyPressure,100.177747,100.116808,100.300000,0.007782,-10,1001.780436,0.002966,1087,770
