timestamp,strategy,regime,fair_price,best_bid,best_ask,recent_volatility,inventory,cash,pnl,bid_depth,ask_depth
1,InventorySkew,HighVolatility,99.949533,99.950000,100.050000,0.003028,0,0.000000,0.000000,978,1000
2,InventorySkew,HighVolatility,99.907191,99.950000,100.050000,0.005387,0,0.000000,0.000000,965,1000
3,InventorySkew,HighVolatility,99.969906,99.950000,100.050000,0.008827,0,0.000000,0.000000,965,998
4,InventorySkew,HighVolatility,99.980162,99.950000,100.050000,0.008912,0,0.000000,0.000000,965,963
5,InventorySkew,HighVolatility,100.003075,99.950000,100.100000,0.009752,0,0.000000,0.000000,965,938
6,InventorySkew,HighVolatility,99.994995,99.950000,100.100000,0.009652,0,0.000000,0.000000,965,949
7,InventorySkew,HighVolatility,99.936363,99.900000,100.100000,0.012591,0,0.000000,0.000000,934,949
8,InventorySkew,HighVolatility,99.977565,99.900000,100.100000,0.014307,0,0.000000,0.000000,934,931
9,InventorySkew,HighVolatility,99.986306,99.900000,100.100000,0.013973,0,0.000000,0.000000,934,916
10,InventorySkew,HighVolatility,100.011429,99.961429,100.061429,0.014642,0,0.000000,0.000000,944,918
11,InventorySkew,HighVolatility,100.059793,99.961429,100.150000,0.016666,-10,1000.614286,0.016352,944,895
12,InventorySkew,HighVolatility,100.065970,99.961429,100.150000,0.016036,-10,1000.614286,-0.045416,962,895
13,InventorySkew,HighVolatility,100.018785,99.935052,100.150000,0.017905,0,1.000000,1.000000,937,895
14,InventorySkew,HighVolatility,99.992089,99.935052,100.150000,0.018433,0,1.000000,1.000000,937,902
15,InventorySkew,HighVolatility,99.971433,99.900000,100.150000,0.018566,0,1.000000,1.000000,914,902
16,InventorySkew,HighVolatility,99.972429,99.900000,100.150000,0.017512,0,1.000000,1.000000,914,876
17,InventorySkew,HighVolatility,99.938845,99.900000,100.128036,0.018476,0,1.000000,1.000000,914,889
18,InventorySkew,HighVolatility,99.956833,99.900000,100.128036,0.018447,0,1.000000,1.000000,922,889
19,InventorySkew,HighVolatility,99.899024,99.850000,100.128036,0.020809,0,1.000000,1.000000,905,889
20,InventorySkew,HighVolatility,99.911497,99.861497,99.961497,0.020309,0,1.000000,1.000000,915,894
21,InventorySkew,HighVolatility,99.937350,99.861497,99.961497,0.020641,0,1.000000,1.000000,933,894
22,InventorySkew,HighVolatility,99.997653,99.861497,100.128036,0.023021,-10,1000.614971,0.638440,933,878
23,InventorySkew,HighVolatility,100.046551,99.861497,100.200000,0.024574,-10,1000.614971,0.149457,933,860
24,InventorySkew,HighVolatility,100.087000,99.861497,100.200000,0.025526,-10,1000.614971,-0.255025,933,836
25,InventorySkew,HighVolatility,100.056983,99.861497,100.200000,0.025795,-8,800.891977,0.436116,931,836
26,InventorySkew,HighVolatility,100.008566,99.850000,100.200000,0.027153,0,2.000000,2.000000,911,836
27,InventorySkew,HighVolatility,99.994165,99.850000,100.200000,0.026388,0,2.000000,2.000000,907,836
28,InventorySkew,HighVolatility,99.998495,99.850000,100.200000,0.025064,0,2.000000,2.000000,907,831
29,InventorySkew,HighVolatility,99.985546,99.850000,100.200000,0.024337,0,2.000000,2.000000,903,831
30,InventorySkew,HighVolatility,99.964634,99.914634,100.014634,0.024132,0,2.000000,2.000000,893,841
31,InventorySkew,HighVolatility,100.021572,99.914634,100.014634,0.026100,-7,702.102436,1.951432,893,834
32,InventorySkew,HighVolatility,100.063462,99.914634,100.200000,0.027048,-10,1002.146338,1.511714,893,814
33,InventorySkew,HighVolatility,100.043949,99.914634,100.200000,0.026596,-10,1002.146338,1.706845,927,814
34,InventorySkew,HighVolatility,100.030765,99.914634,100.115260,0.025791,-10,1002.146338,1.838690,927,840
35,InventorySkew,HighVolatility,100.053844,99.914634,100.115260,0.025628,-10,1002.146338,1.607898,950,840
36,InventorySkew,HighVolatility,100.123024,99.914634,100.250000,0.028241,-10,1002.146338,0.916100,950,806
37,InventorySkew,HighVolatility,100.157029,99.914634,100.250000,0.028587,-10,1002.146338,0.576044,950,799
38,InventorySkew,HighVolatility,100.147364,99.850000,100.250000,0.027452,0,3.000000,3.000000,940,799
39,InventorySkew,HighVolatility,100.130556,99.800000,100.250000,0.026813,0,3.000000,3.000000,920,799
40,InventorySkew,HighVolatility,100.087988,100.037988,100.137988,0.027758,0,3.000000,3.000000,904,809
41,InventorySkew,HighVolatility,100.135799,100.037988,100.250000,0.028962,-10,1004.379877,3.021883,904,774
42,InventorySkew,HighVolatility,100.081428,99.800000,100.250000,0.030486,0,4.000000,4.000000,892,774
43,InventorySkew,HighVolatility,100.132201,99.800000,100.250000,0.031703,0,4.000000,4.000000,892,771
44,InventorySkew,HighVolatility,100.142415,99.967035,100.250000,0.030414,0,4.000000,4.000000,914,771
45,InventorySkew,HighVolatility,100.113978,99.967035,100.250000,0.030296,0,4.000000,4.000000,910,771
46,InventorySkew,HighVolatility,100.164188,99.967035,100.250000,0.031490,0,4.000000,4.000000,910,764
47,InventorySkew,HighVolatility,100.177360,99.967035,100.268918,0.030391,0,4.000000,4.000000,910,755
48,InventorySkew,HighVolatility,100.162099,99.800000,100.268918,0.029483,0,4.000000,4.000000,886,755
49,InventorySkew,HighVolatility,100.165671,99.800000,100.268918,0.027929,0,4.000000,4.000000,886,786
50,InventorySkew,HighVolatility,100.133559,100.083559,100.183559,0.028180,0,4.000000,4.000000,873,796
51,InventorySkew,HighVolatility,100.128771,100.083559,100.183559,0.026776,6,-596.501351,4.271275,867,796
52,InventorySkew,HighVolatility,100.136387,100.083559,100.183559,0.025627,6,-596.501351,4.316970,883,796
53,InventorySkew,HighVolatility,100.075402,99.871868,100.183559,0.027748,10,-996.835586,3.918439,871,796
54,InventorySkew,HighVolatility,100.021304,99.750000,100.183559,0.029329,10,-996.835586,3.377452,852,796
55,InventorySkew,HighVolatility,100.059058,99.750000,100.300000,0.029835,0,5.000000,5.000000,852,770
56,InventorySkew,HighVolatility,100.119345,99.750000,100.300000,0.031662,0,5.000000,5.000000,852,766
57,InventorySkew,HighVolatility,100.129043,99.750000,100.300000,0.030344,0,5.000000,5.000000,852,734
58,InventorySkew,HighVolatility,100.100360,99.750000,100.300000,0.030244,0,5.000000,5.000000,844,734
59,InventorySkew,HighVolatility,100.100615,100.014199,100.300000,0.028445,0,5.000000,5.000000,847,734
60,InventorySkew,HighVolatility,100.082690,100.032690,100.132690,0.027814,0,5.000000,5.000000,827,744
61,InventorySkew,HighVolatility,100.054558,100.032690,100.132690,0.027833,4,-395.130762,5.087472,823,744
62,InventorySkew,HighVolatility,100.043170,100.032690,100.132690,0.026846,4,-395.130762,5.041919,823,778
63,InventorySkew,HighVolatility,99.977201,99.745712,100.132690,0.029193,10,-995.326904,4.445109,814,778
64,InventorySkew,HighVolatility,99.995261,99.745712,100.244241,0.028525,0,6.000000,6.000000,814,762
65,InventorySkew,HighVolatility,99.942447,99.744337,100.244241,0.029983,0,6.000000,6.000000,800,762
66,InventorySkew,HighVolatility,99.891235,99.706236,100.244241,0.031256,0,6.000000,6.000000,777,762
67,InventorySkew,HighVolatility,99.835499,99.700000,100.244241,0.032725,0,6.000000,6.000000,746,762
68,InventorySkew,HighVolatility,99.845271,99.700000,100.244241,0.031348,0,6.000000,6.000000,746,761
69,InventorySkew,HighVolatility,99.812990,99.700000,100.244241,0.031404,0,6.000000,6.000000,712,761
70,InventorySkew,HighVolatility,99.865516,99.815516,99.915516,0.032671,0,6.000000,6.000000,722,741
71,InventorySkew,HighVolatility,99.852810,99.700000,99.915516,0.031473,10,-992.155163,6.372937,712,741
72,InventorySkew,HighVolatility,99.866227,99.700000,99.915516,0.030390,7,-692.408614,6.654975,712,738
73,InventorySkew,HighVolatility,99.838680,99.650000,99.915516,0.030219,7,-692.408614,6.462143,706,738
74,InventorySkew,HighVolatility,99.882154,99.650000,99.915516,0.031015,4,-392.662065,6.866551,706,735
75,InventorySkew,HighVolatility,99.830287,99.650000,99.915516,0.032266,4,-392.662065,6.659083,695,735
76,InventorySkew,HighVolatility,99.821721,99.650000,99.915516,0.030844,4,-392.662065,6.624819,689,735
77,InventorySkew,HighVolatility,99.799463,99.650000,99.915516,0.030329,4,-392.662065,6.535788,660,735
78,InventorySkew,HighVolatility,99.793237,99.650000,99.915516,0.028883,4,-392.662065,6.510883,680,735
79,InventorySkew,HighVolatility,99.737266,99.600000,99.915516,0.030508,4,-392.662065,6.286997,647,735
