timestamp,strategy,regime,fair_price,best_bid,best_ask,recent_volatility,inventory,cash,pnl,bid_depth,ask_depth
1,VolatilityAdjusted,BuyPressure,100.016901,99.950000,100.050000,0.001014,0,0.000000,0.000000,1000,985
2,VolatilityAdjusted,BuyPressure,100.033197,99.950000,100.050000,0.001931,0,0.000000,0.000000,1000,980
3,VolatilityAdjusted,BuyPressure,100.031170,99.950000,100.050000,0.001937,0,0.000000,0.000000,1009,980
4,VolatilityAdjusted,BuyPressure,100.030432,99.950000,100.050000,0.001865,0,0.000000,0.000000,1014,980
5,VolatilityAdjusted,BuyPressure,100.029176,99.950000,100.050000,0.001828,0,0.000000,0.000000,1030,980
6,VolatilityAdjusted,BuyPressure,100.018557,99.950000,100.050000,0.002356,0,0.000000,0.000000,1015,980
7,VolatilityAdjusted,BuyPressure,100.009099,99.950000,100.050000,0.002782,0,0.000000,0.000000,1014,980
8,VolatilityAdjusted,BuyPressure,100.005021,99.950000,100.050000,0.002860,0,0.000000,0.000000,1024,980
9,VolatilityAdjusted,BuyPressure,100.015331,99.950000,100.050000,0.003307,0,0.000000,0.000000,1024,962
10,VolatilityAdjusted,BuyPressure,100.032277,99.976090,100.088465,0.004125,0,0.000000,0.000000,1034,958
11,VolatilityAdjusted,BuyPressure,100.040607,99.976090,100.100000,0.004377,-10,1000.884646,0.478577,1034,947
12,VolatilityAdjusted,BuyPressure,100.048209,99.976090,100.100000,0.004571,-10,1000.884646,0.402559,1034,936
13,VolatilityAdjusted,BuyPressure,100.044814,99.976090,100.100000,0.004500,-10,1000.884646,0.436507,1044,936
14,VolatilityAdjusted,BuyPressure,100.056332,99.976090,100.100000,0.004921,-10,1000.884646,0.321323,1044,931
15,VolatilityAdjusted,BuyPressure,100.042442,99.950000,100.100000,0.005459,0,1.123751,1.123751,1034,931
16,VolatilityAdjusted,BuyPressure,100.025615,99.950000,100.100000,0.006142,0,1.123751,1.123751,1026,931
17,VolatilityAdjusted,BuyPressure,100.026604,99.950000,100.100000,0.005832,0,1.123751,1.123751,1026,932
18,VolatilityAdjusted,BuyPressure,100.026003,99.950302,100.100000,0.005519,0,1.123751,1.123751,1040,932
19,VolatilityAdjusted,BuyPressure,100.042600,99.950302,100.100000,0.006183,0,1.123751,1.123751,1040,921
20,VolatilityAdjusted,BuyPressure,100.052690,99.993063,100.100000,0.006418,0,1.123751,1.123751,1050,914
21,VolatilityAdjusted,BuyPressure,100.068815,99.993063,100.150000,0.007000,-10,1002.246913,1.558763,1050,897
22,VolatilityAdjusted,BuyPressure,100.065048,99.993063,100.150000,0.006806,-10,1002.246913,1.596434,1066,897
23,VolatilityAdjusted,BuyPressure,100.078104,99.993063,100.150000,0.007181,-10,1002.246913,1.465870,1066,891
24,VolatilityAdjusted,BuyPressure,100.092936,99.993063,100.150000,0.007640,-10,1002.246913,1.317552,1066,885
25,VolatilityAdjusted,BuyPressure,100.097020,100.012251,100.150000,0.007427,-10,1002.246913,1.276716,1068,885
26,VolatilityAdjusted,BuyPressure,100.088945,99.993063,100.150000,0.007466,-3,302.295471,2.028635,1059,885
27,VolatilityAdjusted,BuyPressure,100.102267,99.993063,100.150000,0.007817,-3,302.295471,1.988671,1059,877
28,VolatilityAdjusted,BuyPressure,100.112990,99.993063,100.150000,0.007991,-3,302.295471,1.956500,1059,863
29,VolatilityAdjusted,BuyPressure,100.117681,100.009583,100.150000,0.007793,-3,302.295471,1.942429,1068,863
30,VolatilityAdjusted,BuyPressure,100.129978,100.067883,100.192074,0.008064,-3,302.295471,1.905537,1078,857
31,VolatilityAdjusted,BuyPressure,100.145568,100.067883,100.200000,0.008515,-13,1304.216208,2.323824,1078,843
32,VolatilityAdjusted,BuyPressure,100.142518,100.067883,100.200000,0.008187,-13,1304.216208,2.363471,1078,844
33,VolatilityAdjusted,BuyPressure,100.153513,100.067883,100.200000,0.008356,-13,1304.216208,2.220542,1078,838
34,VolatilityAdjusted,BuyPressure,100.149900,100.126955,100.200000,0.008071,-13,1304.216208,2.267512,1084,838
35,VolatilityAdjusted,BuyPressure,100.160480,100.126955,100.200000,0.008222,-13,1304.216208,2.129971,1084,823
36,VolatilityAdjusted,BuyPressure,100.164845,100.126955,100.200000,0.007990,-13,1304.216208,2.073218,1087,823
37,VolatilityAdjusted,BuyPressure,100.165610,100.126955,100.200000,0.007557,-13,1304.216208,2.063273,1090,823
38,VolatilityAdjusted,BuyPressure,100.158429,100.126955,100.200000,0.007534,-13,1304.216208,2.156625,1087,823
39,VolatilityAdjusted,BuyPressure,100.159938,100.126955,100.200000,0.007173,-13,1304.216208,2.137014,1089,823
40,VolatilityAdjusted,BuyPressure,100.159522,100.126955,100.200000,0.006767,-13,1304.216208,2.142422,1109,833
41,VolatilityAdjusted,BuyPressure,100.167323,100.126955,100.200000,0.006829,-13,1304.216208,2.041005,1109,832
42,VolatilityAdjusted,BuyPressure,100.176924,100.126955,100.200000,0.006996,-13,1304.216208,1.916193,1109,830
43,VolatilityAdjusted,BuyPressure,100.176679,100.126955,100.200000,0.006591,-13,1304.216208,1.919378,1118,830
44,VolatilityAdjusted,BuyPressure,100.193431,100.126955,100.200000,0.007200,-13,1304.216208,1.701606,1118,817
45,VolatilityAdjusted,BuyPressure,100.194630,100.138067,100.200000,0.006840,-13,1304.216208,1.686012,1132,817
46,VolatilityAdjusted,BuyPressure,100.206791,100.138067,100.250000,0.007159,-23,2306.412937,1.656737,1132,800
47,VolatilityAdjusted,BuyPressure,100.205205,100.138067,100.250000,0.006825,-23,2306.412937,1.693226,1132,810
48,VolatilityAdjusted,BuyPressure,100.204524,100.138067,100.235327,0.006456,-23,2306.412937,1.708891,1132,829
49,VolatilityAdjusted,BuyPressure,100.216999,100.138067,100.235327,0.006818,-23,2306.412937,1.421969,1132,828
50,VolatilityAdjusted,BuyPressure,100.212023,100.159869,100.235327,0.006707,-23,2306.412937,1.536418,1159,838
51,VolatilityAdjusted,BuyPressure,100.208398,100.160410,100.235327,0.006522,-23,2306.412937,1.619783,1173,838
52,VolatilityAdjusted,BuyPressure,100.212260,100.160410,100.235327,0.006362,-23,2306.412937,1.530966,1182,838
53,VolatilityAdjusted,BuyPressure,100.215041,100.194464,100.235327,0.006148,-23,2306.412937,1.466995,1184,838
54,VolatilityAdjusted,BuyPressure,100.229165,100.194464,100.235327,0.006626,-23,2306.412937,1.142150,1184,833
55,VolatilityAdjusted,BuyPressure,100.229701,100.194464,100.235327,0.006261,-23,2306.412937,1.129818,1197,833
56,VolatilityAdjusted,BuyPressure,100.230363,100.194464,100.235327,0.005925,-23,2306.412937,1.114582,1214,833
57,VolatilityAdjusted,BuyPressure,100.235357,100.194464,100.235327,0.005869,-23,2306.412937,0.999736,1222,833
58,VolatilityAdjusted,BuyPressure,100.244891,100.194464,100.235327,0.006089,-23,2306.412937,0.780450,1222,823
59,VolatilityAdjusted,BuyPressure,100.241350,100.194464,100.235327,0.005936,-23,2306.412937,0.861880,1229,823
60,VolatilityAdjusted,BuyPressure,100.244446,100.194464,100.235327,0.005766,-23,2306.412937,0.790669,1250,833
61,VolatilityAdjusted,BuyPressure,100.256664,100.194464,100.250000,0.006153,-23,2306.412937,0.509667,1250,829
62,VolatilityAdjusted,BuyPressure,100.273062,100.194464,100.250000,0.006767,-23,2306.412937,0.132515,1250,815
63,VolatilityAdjusted,BuyPressure,100.285965,100.194464,100.250000,0.007136,-23,2306.412937,-0.164267,1250,812
64,VolatilityAdjusted,BuyPressure,100.293259,100.194464,100.250000,0.007145,-23,2306.412937,-0.332020,1250,807
65,VolatilityAdjusted,BuyPressure,100.291226,100.241325,100.250000,0.006838,-23,2306.412937,-0.285271,1258,807
66,VolatilityAdjusted,BuyPressure,100.304493,100.241325,100.250000,0.007224,-23,2306.412937,-0.590396,1258,797
67,VolatilityAdjusted,BuyPressure,100.313383,100.241325,100.272083,0.007324,-27,2707.501270,-0.960061,1258,777
68,VolatilityAdjusted,BuyPressure,100.329468,100.241325,100.300000,0.007850,-33,3309.133769,-1.738682,1258,764
69,VolatilityAdjusted,BuyPressure,100.316515,100.241325,100.300000,0.008156,-33,3309.133769,-1.311230,1252,764
70,VolatilityAdjusted,BuyPressure,100.311569,100.249624,100.300000,0.007963,-33,3309.133769,-1.147992,1280,774
71,VolatilityAdjusted,BuyPressure,100.294812,100.199701,100.300000,0.008491,-23,2306.637533,-0.143150,1262,774
72,VolatilityAdjusted,BuyPressure,100.304887,100.199701,100.300000,0.008586,-23,2306.637533,-0.374860,1262,773
73,VolatilityAdjusted,BuyPressure,100.292783,100.199701,100.300000,0.008797,-23,2306.637533,-0.096467,1255,773
74,VolatilityAdjusted,BuyPressure,100.283939,100.193057,100.300000,0.008800,-23,2306.637533,0.106946,1247,773
75,VolatilityAdjusted,BuyPressure,100.293296,100.193057,100.300000,0.008833,-23,2306.637533,-0.108272,1247,766
76,VolatilityAdjusted,BuyPressure,100.307768,100.193057,100.300000,0.009172,-23,2306.637533,-0.441134,1247,751
77,VolatilityAdjusted,BuyPressure,100.308174,100.193057,100.300000,0.008646,-23,2306.637533,-0.450465,1263,751
78,VolatilityAdjusted,BuyPressure,100.306028,100.235485,100.300000,0.008256,-23,2306.637533,-0.401114,1283,751
79,VolatilityAdjusted,BuyPressure,100.321573,100.235485,100.300000,0.008693,-23,2306.637533,-0.758657,1283,740
80,VolatilityAdjusted,BuyPressure,100.319416,100.256965,100.300000,0.008301,-23,2306.637533,-0.709038,1310,750
81,VolatilityAdjusted,BuyPressure,100.306033,100.256965,100.300000,0.008606,-16,1604.838779,-0.057743,1303,750
82,VolatilityAdjusted,BuyPressure,100.320107,100.256965,100.300000,0.008934,-16,1604.838779,-0.282937,1303,746
83,VolatilityAdjusted,BuyPressure,100.317115,100.256965,100.300000,0.008577,-16,1604.838779,-0.235055,1319,746
84,VolatilityAdjusted,BuyPressure,100.316121,100.256965,100.300000,0.008122,-16,1604.838779,-0.219160,1319,765
85,VolatilityAdjusted,BuyPressure,100.332281,100.256965,100.303095,0.008605,-18,1805.444969,-0.536083,1319,757
86,VolatilityAdjusted,BuyPressure,100.347218,100.256965,100.333838,0.008985,-26,2607.869728,-1.157938,1319,741
87,VolatilityAdjusted,BuyPressure,100.346581,100.256965,100.333838,0.008484,-26,2607.869728,-1.141381,1329,741
88,VolatilityAdjusted,BuyPressure,100.345663,100.274614,100.333838,0.008030,-26,2607.869728,-1.117518,1332,741
89,VolatilityAdjusted,BuyPressure,100.359065,100.274614,100.350000,0.008352,-26,2607.869728,-1.465954,1332,726
90,VolatilityAdjusted,BuyPressure,100.363050,100.312963,100.350000,0.008090,-26,2607.869728,-1.569583,1352,736
91,VolatilityAdjusted,BuyPressure,100.347941,100.312963,100.350000,0.008511,-26,2607.869728,-1.176733,1350,736
92,VolatilityAdjusted,BuyPressure,100.358355,100.312963,100.350000,0.008625,-26,2607.869728,-1.447508,1350,723
93,VolatilityAdjusted,BuyPressure,100.369171,100.312963,100.350000,0.008757,-26,2607.869728,-1.728730,1350,709
94,VolatilityAdjusted,BuyPressure,100.372944,100.312963,100.350000,0.008458,-26,2607.869728,-1.826812,1350,711
95,VolatilityAdjusted,BuyPressure,100.381999,100.312963,100.373513,0.008494,-35,3511.231349,-2.138624,1350,692
