timestamp,strategy,regime,fair_price,best_bid,best_ask,recent_volatility,inventory,cash,pnl,bid_depth,ask_depth
1,VolatilityAdjusted,HighVolatility,99.933084,99.950000,100.050000,0.004015,0,0.000000,0.000000,986,1000
2,VolatilityAdjusted,HighVolatility,99.989707,99.950000,100.050000,0.007171,0,0.000000,0.000000,986,981
3,VolatilityAdjusted,HighVolatility,99.995942,99.950000,100.050000,0.007115,0,0.000000,0.000000,1015,981
4,VolatilityAdjusted,HighVolatility,100.045231,99.950000,100.050000,0.009646,0,0.000000,0.000000,1015,967
5,VolatilityAdjusted,HighVolatility,100.047628,99.950000,100.050000,0.009211,0,0.000000,0.000000,1016,967
6,VolatilityAdjusted,HighVolatility,100.055267,99.974274,100.050000,0.009116,0,0.000000,0.000000,1030,967
7,VolatilityAdjusted,HighVolatility,100.078656,99.974274,100.100000,0.009973,0,0.000000,0.000000,1030,938
8,VolatilityAdjusted,HighVolatility,100.086342,99.974274,100.100000,0.009836,0,0.000000,0.000000,1030,906
9,VolatilityAdjusted,HighVolatility,100.089285,99.974274,100.100000,0.009422,0,0.000000,0.000000,1030,931
10,VolatilityAdjusted,HighVolatility,100.142995,100.074876,100.150000,0.012079,0,0.000000,0.000000,1040,925
11,VolatilityAdjusted,HighVolatility,100.160274,100.074876,100.150000,0.012391,0,0.000000,0.000000,1045,925
12,VolatilityAdjusted,HighVolatility,100.107200,99.950000,100.150000,0.014832,10,-1000.748759,0.323244,1011,925
13,VolatilityAdjusted,HighVolatility,100.167398,99.950000,100.150000,0.017554,10,-1000.748759,0.925223,1011,921
14,VolatilityAdjusted,HighVolatility,100.116943,99.900000,100.150000,0.019528,10,-1000.748759,0.420671,984,921
15,VolatilityAdjusted,HighVolatility,100.151447,99.900000,100.150000,0.020427,10,-1000.748759,0.765714,984,913
16,VolatilityAdjusted,HighVolatility,100.195718,99.900000,100.159677,0.021857,10,-1000.748759,1.208419,984,885
17,VolatilityAdjusted,HighVolatility,100.191136,99.900000,100.159677,0.020821,10,-1000.748759,1.162602,974,885
18,VolatilityAdjusted,HighVolatility,100.241895,99.900000,100.159677,0.022617,10,-1000.748759,1.670189,974,867
19,VolatilityAdjusted,HighVolatility,100.199493,99.900000,100.159677,0.023804,10,-1000.748759,1.246168,961,867
20,VolatilityAdjusted,HighVolatility,100.207986,100.123657,100.159677,0.022886,10,-1000.748759,1.331098,989,877
21,VolatilityAdjusted,HighVolatility,100.160889,100.123657,100.159677,0.024338,13,-1301.119732,0.971820,986,877
22,VolatilityAdjusted,HighVolatility,100.108053,100.123657,100.159677,0.026048,19,-1901.861676,0.191333,980,877
23,VolatilityAdjusted,HighVolatility,100.088242,99.902326,100.159677,0.025674,20,-2001.985333,-0.220491,977,877
24,VolatilityAdjusted,HighVolatility,100.026467,99.900000,100.159677,0.027840,20,-2001.985333,-1.455993,948,877
25,VolatilityAdjusted,HighVolatility,100.032972,99.900000,100.159677,0.026560,20,-2001.985333,-1.325900,970,877
26,VolatilityAdjusted,HighVolatility,100.044991,99.900000,100.106382,0.025687,20,-2001.985333,-1.085511,970,903
27,VolatilityAdjusted,HighVolatility,100.095185,99.900000,100.159677,0.027158,20,-2001.985333,-0.081636,970,873
28,VolatilityAdjusted,HighVolatility,100.099930,99.900000,100.200000,0.025813,20,-2001.985333,0.013261,970,869
29,VolatilityAdjusted,HighVolatility,100.085648,99.900000,100.200000,0.025121,20,-2001.985333,-0.272380,965,869
30,VolatilityAdjusted,HighVolatility,100.092631,100.006582,100.178680,0.024033,20,-2001.985333,-0.132714,1006,879
31,VolatilityAdjusted,HighVolatility,100.098794,100.006582,100.178680,0.022961,20,-2001.985333,-0.009459,1006,883
32,VolatilityAdjusted,HighVolatility,100.142596,100.006582,100.200000,0.024211,10,-1000.198530,1.227426,1006,859
33,VolatilityAdjusted,HighVolatility,100.113052,99.900000,100.200000,0.024531,20,-2000.264347,1.996684,991,859
34,VolatilityAdjusted,HighVolatility,100.093673,99.850000,100.200000,0.024222,20,-2000.264347,1.609112,972,859
35,VolatilityAdjusted,HighVolatility,100.123108,99.850000,100.176497,0.024535,20,-2000.264347,2.197813,972,885
36,VolatilityAdjusted,HighVolatility,100.092695,99.850000,100.176497,0.024887,20,-2000.264347,1.589547,938,885
37,VolatilityAdjusted,HighVolatility,100.063412,99.800000,100.176497,0.025151,20,-2000.264347,1.003884,907,885
38,VolatilityAdjusted,HighVolatility,100.112575,99.800000,100.176497,0.026592,20,-2000.264347,1.987159,907,881
