timestamp,strategy,regime,fair_price,best_bid,best_ask,recent_volatility,inventory,cash,pnl,bid_depth,ask_depth
1,VolatilityAdjusted,SellPressure,100.002769,99.975621,100.050000,0.000166,0,0.000000,0.000000,1002,1000
2,VolatilityAdjusted,SellPressure,99.999609,99.975621,100.050000,0.000346,0,0.000000,0.000000,1019,1000
3,VolatilityAdjusted,SellPressure,99.986044,99.950000,100.050000,0.001139,0,0.000000,0.000000,999,1000
4,VolatilityAdjusted,SellPressure,99.974777,99.950000,100.050000,0.001747,0,0.000000,0.000000,990,1000
5,VolatilityAdjusted,SellPressure,99.973563,99.950000,100.050000,0.001715,0,0.000000,0.000000,990,1006
6,VolatilityAdjusted,SellPressure,99.977219,99.950000,100.050000,0.001831,0,0.000000,0.000000,1004,1006
7,VolatilityAdjusted,SellPressure,99.967584,99.950000,100.050000,0.002299,0,0.000000,0.000000,989,1006
8,VolatilityAdjusted,SellPressure,99.966465,99.950000,100.050000,0.002229,0,0.000000,0.000000,989,1009
9,VolatilityAdjusted,SellPressure,99.958783,99.915751,100.050000,0.002556,0,0.000000,0.000000,979,1009
10,VolatilityAdjusted,SellPressure,99.966535,99.915751,100.020836,0.002868,0,0.000000,0.000000,989,1012
11,VolatilityAdjusted,SellPressure,99.962340,99.915751,100.020836,0.002947,0,0.000000,0.000000,989,1015
12,VolatilityAdjusted,SellPressure,99.977413,99.915751,100.050000,0.003675,-10,1000.208363,0.434230,989,995
13,VolatilityAdjusted,SellPressure,99.964186,99.912233,100.050000,0.004248,-10,1000.208363,0.566506,977,995
14,VolatilityAdjusted,SellPressure,99.959304,99.912233,100.050000,0.004286,-10,1000.208363,0.615327,977,1007
15,VolatilityAdjusted,SellPressure,99.955315,99.912233,100.050000,0.004268,-10,1000.208363,0.655215,988,1007
16,VolatilityAdjusted,SellPressure,99.965938,99.912233,100.050000,0.004649,-10,1000.208363,0.548982,988,997
17,VolatilityAdjusted,SellPressure,99.977901,99.912233,100.050000,0.005088,-10,1000.208363,0.429353,988,979
18,VolatilityAdjusted,SellPressure,99.977757,99.912233,100.050000,0.004792,-10,1000.208363,0.430796,988,992
19,VolatilityAdjusted,SellPressure,99.990497,99.912233,100.050000,0.005269,-10,1000.208363,0.303394,988,991
20,VolatilityAdjusted,SellPressure,99.978486,99.919977,100.036996,0.005673,0,1.086029,1.086029,980,1001
21,VolatilityAdjusted,SellPressure,99.991553,99.919977,100.050000,0.006117,-10,1001.455988,1.540459,980,988
22,VolatilityAdjusted,SellPressure,99.989292,99.919977,100.050000,0.005885,-10,1001.455988,1.563065,980,998
23,VolatilityAdjusted,SellPressure,99.986744,99.928823,100.050000,0.005685,-10,1001.455988,1.588545,996,998
24,VolatilityAdjusted,SellPressure,99.985745,99.953614,100.050000,0.005404,-10,1001.455988,1.598538,1011,998
25,VolatilityAdjusted,SellPressure,99.999556,99.953614,100.100000,0.005908,-10,1001.455988,1.460426,1011,978
26,VolatilityAdjusted,SellPressure,99.989721,99.953614,100.100000,0.006144,-10,1001.455988,1.558778,1000,978
27,VolatilityAdjusted,SellPressure,99.980923,99.928823,100.100000,0.006303,-10,1001.455988,1.646754,996,978
28,VolatilityAdjusted,SellPressure,99.977470,99.928823,100.099833,0.006132,-10,1001.455988,1.681288,996,983
29,VolatilityAdjusted,SellPressure,99.973856,99.928823,100.099833,0.005981,-10,1001.455988,1.717423,1011,983
30,VolatilityAdjusted,SellPressure,99.988870,99.929085,100.048655,0.006523,-10,1001.455988,1.567288,1021,975
31,VolatilityAdjusted,SellPressure,99.991965,99.930883,100.048655,0.006317,-10,1001.455988,1.536338,1027,975
32,VolatilityAdjusted,SellPressure,100.008547,99.930883,100.100000,0.006933,-20,2001.942533,1.771599,1027,962
33,VolatilityAdjusted,SellPressure,99.997570,99.929085,100.100000,0.007176,-18,1802.084362,2.128098,1019,962
34,VolatilityAdjusted,SellPressure,100.014133,99.929085,100.100000,0.007739,-18,1802.084362,1.829969,1019,950
35,VolatilityAdjusted,SellPressure,100.028932,99.929085,100.106890,0.008163,-18,1802.084362,1.563581,1019,935
36,VolatilityAdjusted,SellPressure,100.020631,99.928823,100.106890,0.008171,-10,1002.651679,2.445367,1007,935
37,VolatilityAdjusted,SellPressure,100.017316,99.928823,100.106890,0.007880,-10,1002.651679,2.478518,1007,946
38,VolatilityAdjusted,SellPressure,100.008102,99.919977,100.106890,0.007960,-2,203.291865,3.275661,987,946
39,VolatilityAdjusted,SellPressure,100.000528,99.902984,100.106890,0.007937,0,3.451912,3.451912,983,946
40,VolatilityAdjusted,SellPressure,100.011614,99.949426,100.073802,0.008126,0,3.451912,3.451912,993,937
41,VolatilityAdjusted,SellPressure,100.027703,99.949426,100.150000,0.008603,-10,1004.189937,3.912903,993,921
42,VolatilityAdjusted,SellPressure,100.017248,99.900000,100.150000,0.008714,0,4.695677,4.695677,975,921
43,VolatilityAdjusted,SellPressure,100.033323,99.900000,100.150000,0.009156,0,4.695677,4.695677,975,916
44,VolatilityAdjusted,SellPressure,100.044393,99.900000,100.150000,0.009271,0,4.695677,4.695677,975,906
45,VolatilityAdjusted,SellPressure,100.052610,99.900000,100.150000,0.009208,0,4.695677,4.695677,975,889
46,VolatilityAdjusted,SellPressure,100.057000,99.901022,100.150000,0.008919,0,4.695677,4.695677,986,889
47,VolatilityAdjusted,SellPressure,100.058664,99.901022,100.150000,0.008483,0,4.695677,4.695677,986,900
48,VolatilityAdjusted,SellPressure,100.042221,99.900000,100.150000,0.008961,0,4.695677,4.695677,969,900
49,VolatilityAdjusted,SellPressure,100.053624,99.900000,100.162733,0.009108,0,4.695677,4.695677,969,888
50,VolatilityAdjusted,SellPressure,100.041577,99.977651,100.105503,0.009284,0,4.695677,4.695677,970,898
51,VolatilityAdjusted,SellPressure,100.054243,99.977651,100.163661,0.009487,-10,1005.750708,5.208279,970,878
52,VolatilityAdjusted,SellPressure,100.052810,99.977651,100.163661,0.009004,-10,1005.750708,5.222604,970,896
53,VolatilityAdjusted,SellPressure,100.049182,99.977651,100.141158,0.008681,-10,1005.750708,5.258889,970,908
54,VolatilityAdjusted,SellPressure,100.046749,99.977651,100.141158,0.008306,-10,1005.750708,5.283213,970,913
55,VolatilityAdjusted,SellPressure,100.044983,99.977651,100.141158,0.007914,-10,1005.750708,5.300879,970,931
56,VolatilityAdjusted,SellPressure,100.044656,99.977651,100.073279,0.007459,-10,1005.750708,5.304151,970,933
57,VolatilityAdjusted,SellPressure,100.045380,100.029752,100.073279,0.007055,-10,1005.750708,5.296906,977,933
