timestamp,strategy,regime,price,quantity,mm_bought,mm_sold
2,FixedSpread,Balanced,100.050000,11,0,0
3,FixedSpread,Balanced,99.950000,2,0,0
4,FixedSpread,Balanced,100.050000,1,0,0
5,FixedSpread,Balanced,100.050000,17,0,0
6,FixedSpread,Balanced,100.050000,16,0,0
9,FixedSpread,Balanced,100.048205,9,0,0
12,FixedSpread,Balanced,99.993428,10,1,0
12,FixedSpread,Balanced,99.950000,8,0,0
13,FixedSpread,Balanced,99.950000,14,0,0
14,FixedSpread,Balanced,100.050000,5,0,0
14,FixedSpread,Balanced,100.093428,3,0,1
15,FixedSpread,Balanced,99.950000,13,0,0
16,FixedSpread,Balanced,100.093428,7,0,1
17,FixedSpread,Balanced,100.100000,11,0,0
21,FixedSpread,Balanced,100.072323,12,0,0
21,FixedSpread,Balanced,100.096775,3,0,1
23,FixedSpread,Balanced,100.096775,7,0,1
23,FixedSpread,Balanced,100.100000,6,0,0
25,FixedSpread,Balanced,100.100000,4,0,0
26,FixedSpread,Balanced,100.100000,2,0,0
28,FixedSpread,Balanced,100.100000,7,0,0
29,FixedSpread,Balanced,100.100000,20,0,0
30,FixedSpread,Balanced,100.044582,9,0,0
31,FixedSpread,Balanced,100.126145,5,0,0
31,FixedSpread,Balanced,100.150000,10,0,0
32,FixedSpread,Balanced,100.058342,10,1,0
32,FixedSpread,Balanced,100.044582,5,0,0
32,FixedSpread,Balanced,100.035212,4,0,0
32,FixedSpread,Balanced,99.996775,1,1,0
33,FixedSpread,Balanced,100.150000,7,0,0
34,FixedSpread,Balanced,99.996775,9,1,0
34,FixedSpread,Balanced,99.950000,8,0,0
35,FixedSpread,Balanced,100.150000,5,0,0
36,FixedSpread,Balanced,100.150000,12,0,0
37,FixedSpread,Balanced,99.950000,5,0,0
37,FixedSpread,Balanced,99.944000,6,0,0
40,FixedSpread,Balanced,99.944000,1,0,0
40,FixedSpread,Balanced,99.926906,3,0,0
42,FixedSpread,Balanced,100.059722,1,1,0
43,FixedSpread,Balanced,100.059722,9,1,0
43,FixedSpread,Balanced,99.926906,1,0,0
44,FixedSpread,Balanced,99.926906,1,0,0
44,FixedSpread,Balanced,99.921022,7,0,0
44,FixedSpread,Balanced,99.900000,12,0,0
46,FixedSpread,Balanced,100.150000,16,0,0
46,FixedSpread,Balanced,100.158342,3,0,1
50,FixedSpread,Balanced,100.015152,9,0,0
51,FixedSpread,Balanced,100.098903,16,0,0
53,FixedSpread,Balanced,100.098903,4,0,0
53,FixedSpread,Balanced,100.123149,10,0,1
54,FixedSpread,Balanced,100.023149,8,1,0
55,FixedSpread,Balanced,100.023149,2,1,0
55,FixedSpread,Balanced,100.015152,9,0,0
55,FixedSpread,Balanced,99.911123,1,0,0
55,FixedSpread,Balanced,99.900000,3,0,0
56,FixedSpread,Balanced,100.158342,7,0,1
56,FixedSpread,Balanced,100.159722,10,0,1
56,FixedSpread,Balanced,100.174039,2,0,0
63,FixedSpread,Balanced,100.027584,10,1,0
63,FixedSpread,Balanced,100.007450,6,0,0
65,FixedSpread,Balanced,100.007450,4,0,0
65,FixedSpread,Balanced,99.997827,3,0,0
65,FixedSpread,Balanced,99.983419,6,0,0
67,FixedSpread,Balanced,100.106048,8,0,0
67,FixedSpread,Balanced,100.127584,10,0,1
67,FixedSpread,Balanced,100.145732,1,0,0
69,FixedSpread,Balanced,100.074678,1,0,0
70,FixedSpread,Balanced,99.983419,6,0,0
70,FixedSpread,Balanced,99.900000,1,0,0
71,FixedSpread,Balanced,100.074678,15,0,0
73,FixedSpread,Balanced,100.074678,1,0,0
73,FixedSpread,Balanced,100.111452,4,0,1
75,FixedSpread,Balanced,100.107920,12,0,0
75,FixedSpread,Balanced,100.111452,4,0,1
76,FixedSpread,Balanced,100.011452,7,1,0
78,FixedSpread,Balanced,100.111452,2,0,1
78,FixedSpread,Balanced,100.174039,1,0,0
78,FixedSpread,Balanced,100.184717,11,0,0
79,FixedSpread,Balanced,100.011452,3,1,0
79,FixedSpread,Balanced,99.975614,3,0,0
79,FixedSpread,Balanced,99.900000,14,0,0
80,FixedSpread,Balanced,100.184717,1,0,0
80,FixedSpread,Balanced,100.193693,1,0,0
80,FixedSpread,Balanced,100.194345,5,0,0
81,FixedSpread,Balanced,100.143681,10,0,1
82,FixedSpread,Balanced,100.194345,10,0,0
83,FixedSpread,Balanced,100.043681,5,1,0
84,FixedSpread,Balanced,100.043681,2,1,0
88,FixedSpread,Balanced,100.071417,13,0,0
88,FixedSpread,Balanced,100.043681,3,1,0
88,FixedSpread,Balanced,99.900000,1,0,0
95,FixedSpread,Balanced,100.027298,10,1,0
95,FixedSpread,Balanced,100.022863,4,0,0
95,FixedSpread,Balanced,100.018384,2,0,0
95,FixedSpread,Balanced,99.977682,3,0,0
98,FixedSpread,Balanced,99.977682,4,0,0
100,FixedSpread,Balanced,100.042892,10,0,0
100,FixedSpread,Balanced,99.977682,1,0,0
101,FixedSpread,Balanced,99.998494,10,1,0
101,FixedSpread,Balanced,99.977682,2,0,0
102,FixedSpread,Balanced,99.977682,7,0,0
102,FixedSpread,Balanced,99.900000,1,0,0
104,FixedSpread,Balanced,100.095564,11,0,0
104,FixedSpread,Balanced,100.098494,9,0,1
106,FixedSpread,Balanced,99.993353,5,0,0
106,FixedSpread,Balanced,99.900000,5,0,0
107,FixedSpread,Balanced,100.098494,1,0,1
107,FixedSpread,Balanced,100.127298,10,0,1
107,FixedSpread,Balanced,100.141149,2,0,0
108,FixedSpread,Balanced,100.141149,8,0,0
110,FixedSpread,Balanced,99.900000,1,0,0
113,FixedSpread,Balanced,99.989957,10,1,0
113,FixedSpread,Balanced,99.900000,7,0,0
116,FixedSpread,Balanced,100.089957,4,0,1
117,FixedSpread,Balanced,100.089957,5,0,1
118,FixedSpread,Balanced,100.089957,1,0,1
118,FixedSpread,Balanced,100.111267,13,0,0
118,FixedSpread,Balanced,100.141149,2,0,0
118,FixedSpread,Balanced,100.150623,1,0,0
123,FixedSpread,Balanced,100.003549,10,1,0
123,FixedSpread,Balanced,99.933606,7,0,0
124,FixedSpread,Balanced,100.068559,1,0,0
126,FixedSpread,Balanced,99.933606,1,0,0
126,FixedSpread,Balanced,99.900000,4,0,0
127,FixedSpread,Balanced,100.068559,9,0,0
128,FixedSpread,Balanced,100.068559,1,0,0
129,FixedSpread,Balanced,100.068559,2,0,0
129,FixedSpread,Balanced,100.097265,6,0,0
130,FixedSpread,Balanced,99.900000,1,0,0
130,FixedSpread,Balanced,99.889909,2,0,0
132,FixedSpread,Balanced,100.097265,10,0,0
132,FixedSpread,Balanced,100.103549,5,0,1
135,FixedSpread,Balanced,100.103549,5,0,1
135,FixedSpread,Balanced,100.109848,10,0,0
136,FixedSpread,Balanced,100.015515,5,1,0
139,FixedSpread,Balanced,100.109848,5,0,0
139,FixedSpread,Balanced,100.115515,10,0,1
139,FixedSpread,Balanced,100.133895,1,0,0
141,FixedSpread,Balanced,100.056687,17,0,0
141,FixedSpread,Balanced,100.037103,1,1,0
142,FixedSpread,Balanced,100.133895,14,0,0
142,FixedSpread,Balanced,100.137103,4,0,1
143,FixedSpread,Balanced,100.037103,1,1,0
