timestamp,strategy,regime,price,quantity,mm_bought,mm_sold
3,FixedSpread,BuyPressure,100.050000,16,0,0
4,FixedSpread,BuyPressure,99.962344,1,0,0
4,FixedSpread,BuyPressure,99.950000,15,0,0
7,FixedSpread,BuyPressure,99.950000,5,0,0
8,FixedSpread,BuyPressure,100.012758,3,0,0
8,FixedSpread,BuyPressure,100.050000,13,0,0
10,FixedSpread,BuyPressure,100.050000,13,0,0
12,FixedSpread,BuyPressure,99.953627,9,0,0
12,FixedSpread,BuyPressure,99.952888,4,1,0
13,FixedSpread,BuyPressure,100.050000,8,0,0
13,FixedSpread,BuyPressure,100.052888,2,0,1
16,FixedSpread,BuyPressure,100.052888,5,0,1
17,FixedSpread,BuyPressure,100.052888,1,0,1
19,FixedSpread,BuyPressure,100.052888,2,0,1
19,FixedSpread,BuyPressure,100.100000,6,0,0
20,FixedSpread,BuyPressure,100.100000,20,0,0
22,FixedSpread,BuyPressure,100.099681,5,0,1
23,FixedSpread,BuyPressure,100.099681,5,0,1
23,FixedSpread,BuyPressure,100.100000,5,0,0
26,FixedSpread,BuyPressure,100.100000,18,0,0
29,FixedSpread,BuyPressure,100.022246,16,0,0
29,FixedSpread,BuyPressure,100.019836,4,0,0
30,FixedSpread,BuyPressure,100.100000,1,0,0
30,FixedSpread,BuyPressure,100.150000,15,0,0
32,FixedSpread,BuyPressure,100.139300,10,0,1
32,FixedSpread,BuyPressure,100.150000,6,0,0
34,FixedSpread,BuyPressure,100.150000,20,0,0
35,FixedSpread,BuyPressure,100.150000,9,0,0
35,FixedSpread,BuyPressure,100.181130,5,0,0
36,FixedSpread,BuyPressure,100.181130,2,0,0
36,FixedSpread,BuyPressure,100.200000,18,0,0
39,FixedSpread,BuyPressure,100.055935,3,0,0
40,FixedSpread,BuyPressure,100.200000,15,0,0
41,FixedSpread,BuyPressure,100.198024,10,0,1
41,FixedSpread,BuyPressure,100.200000,8,0,0
44,FixedSpread,BuyPressure,100.200000,9,0,0
44,FixedSpread,BuyPressure,100.201602,3,0,0
44,FixedSpread,BuyPressure,100.250000,7,0,0
48,FixedSpread,BuyPressure,100.194270,2,0,0
48,FixedSpread,BuyPressure,100.250000,7,0,0
50,FixedSpread,BuyPressure,100.250000,1,0,0
51,FixedSpread,BuyPressure,100.242277,6,0,1
52,FixedSpread,BuyPressure,100.242277,4,0,1
52,FixedSpread,BuyPressure,100.250000,12,0,0
55,FixedSpread,BuyPressure,100.250000,7,0,0
56,FixedSpread,BuyPressure,100.250000,16,0,0
56,FixedSpread,BuyPressure,100.276026,1,0,0
57,FixedSpread,BuyPressure,100.276026,1,0,0
58,FixedSpread,BuyPressure,100.145737,11,0,0
59,FixedSpread,BuyPressure,100.276026,5,0,0
59,FixedSpread,BuyPressure,100.300000,14,0,0
61,FixedSpread,BuyPressure,100.300000,9,0,0
62,FixedSpread,BuyPressure,100.300000,12,0,0
63,FixedSpread,BuyPressure,100.300000,7,0,0
65,FixedSpread,BuyPressure,100.200491,10,1,0
65,FixedSpread,BuyPressure,100.145737,1,0,0
67,FixedSpread,BuyPressure,100.300000,6,0,0
68,FixedSpread,BuyPressure,100.300000,2,0,0
68,FixedSpread,BuyPressure,100.300491,10,0,1
68,FixedSpread,BuyPressure,100.349740,8,0,0
69,FixedSpread,BuyPressure,100.349740,1,0,0
70,FixedSpread,BuyPressure,100.145737,3,0,0
70,FixedSpread,BuyPressure,100.142277,7,1,0
71,FixedSpread,BuyPressure,100.331922,4,0,1
72,FixedSpread,BuyPressure,100.331922,6,0,1
72,FixedSpread,BuyPressure,100.349740,2,0,0
72,FixedSpread,BuyPressure,100.350000,2,0,0
75,FixedSpread,BuyPressure,100.231922,4,1,0
76,FixedSpread,BuyPressure,100.350000,7,0,0
77,FixedSpread,BuyPressure,100.231922,6,1,0
77,FixedSpread,BuyPressure,100.142277,3,1,0
77,FixedSpread,BuyPressure,100.131370,6,0,0
79,FixedSpread,BuyPressure,100.131370,1,0,0
80,FixedSpread,BuyPressure,100.329191,15,0,0
84,FixedSpread,BuyPressure,100.329191,3,0,0
84,FixedSpread,BuyPressure,100.332527,6,0,1
85,FixedSpread,BuyPressure,100.332527,4,0,1
85,FixedSpread,BuyPressure,100.350000,12,0,0
86,FixedSpread,BuyPressure,100.247734,2,0,0
87,FixedSpread,BuyPressure,100.350000,9,0,0
88,FixedSpread,BuyPressure,100.350000,7,0,0
91,FixedSpread,BuyPressure,100.350000,13,0,0
91,FixedSpread,BuyPressure,100.359253,7,0,0
92,FixedSpread,BuyPressure,100.359253,2,0,0
92,FixedSpread,BuyPressure,100.368859,6,0,0
93,FixedSpread,BuyPressure,100.279626,1,1,0
96,FixedSpread,BuyPressure,100.368859,3,0,0
97,FixedSpread,BuyPressure,100.368859,4,0,0
99,FixedSpread,BuyPressure,100.368859,4,0,0
99,FixedSpread,BuyPressure,100.379626,10,0,1
101,FixedSpread,BuyPressure,100.382079,7,0,0
103,FixedSpread,BuyPressure,100.322197,10,1,0
103,FixedSpread,BuyPressure,100.307747,4,0,0
103,FixedSpread,BuyPressure,100.279626,2,1,0
105,FixedSpread,BuyPressure,100.382079,6,0,0
106,FixedSpread,BuyPressure,100.382079,3,0,0
106,FixedSpread,BuyPressure,100.383413,12,0,0
107,FixedSpread,BuyPressure,100.383413,2,0,0
108,FixedSpread,BuyPressure,100.383413,5,0,0
108,FixedSpread,BuyPressure,100.400000,12,0,0
109,FixedSpread,BuyPressure,100.400000,15,0,0
110,FixedSpread,BuyPressure,100.400000,9,0,0
111,FixedSpread,BuyPressure,100.392132,2,1,0
112,FixedSpread,BuyPressure,100.400000,2,0,0
113,FixedSpread,BuyPressure,100.400000,3,0,0
114,FixedSpread,BuyPressure,100.392132,8,1,0
114,FixedSpread,BuyPressure,100.302850,6,0,0
116,FixedSpread,BuyPressure,100.400000,9,0,0
117,FixedSpread,BuyPressure,100.422197,10,0,1
117,FixedSpread,BuyPressure,100.425050,8,0,0
118,FixedSpread,BuyPressure,100.425050,2,0,0
119,FixedSpread,BuyPressure,100.407336,3,0,0
122,FixedSpread,BuyPressure,100.425050,1,0,0
122,FixedSpread,BuyPressure,100.426308,1,0,0
124,FixedSpread,BuyPressure,100.407336,2,0,0
124,FixedSpread,BuyPressure,100.399538,10,1,0
124,FixedSpread,BuyPressure,100.338516,2,0,0
125,FixedSpread,BuyPressure,100.426308,5,0,0
125,FixedSpread,BuyPressure,100.438457,10,0,0
126,FixedSpread,BuyPressure,100.438457,5,0,0
126,FixedSpread,BuyPressure,100.450000,2,0,0
128,FixedSpread,BuyPressure,100.450000,9,0,0
129,FixedSpread,BuyPressure,100.450000,14,0,0
130,FixedSpread,BuyPressure,100.450000,10,1,0
131,FixedSpread,BuyPressure,100.393766,19,0,0
132,FixedSpread,BuyPressure,100.450000,11,0,0
134,FixedSpread,BuyPressure,100.450000,4,0,0
134,FixedSpread,BuyPressure,100.468059,10,0,0
135,FixedSpread,BuyPressure,100.468059,4,0,0
136,FixedSpread,BuyPressure,100.468059,4,0,0
136,FixedSpread,BuyPressure,100.485456,4,0,0
136,FixedSpread,BuyPressure,100.492132,4,0,1
138,FixedSpread,BuyPressure,100.492132,2,0,1
139,FixedSpread,BuyPressure,100.492132,4,0,1
139,FixedSpread,BuyPressure,100.499538,10,0,1
139,FixedSpread,BuyPressure,100.500000,4,0,0
140,FixedSpread,BuyPressure,100.500000,6,0,0
140,FixedSpread,BuyPressure,100.500000,10,1,0
142,FixedSpread,BuyPressure,100.435880,2,0,0
142,FixedSpread,BuyPressure,100.404884,11,0,0
142,FixedSpread,BuyPressure,100.349144,4,0,0
143,FixedSpread,BuyPressure,100.349144,14,0,0
143,FixedSpread,BuyPressure,100.338516,4,0,0
144,FixedSpread,BuyPressure,100.500000,9,0,0
145,FixedSpread,BuyPressure,100.338516,5,0,0
145,FixedSpread,BuyPressure,100.322007,3,0,0
146,FixedSpread,BuyPressure,100.500000,15,0,0
148,FixedSpread,BuyPressure,100.500000,6,0,0
148,FixedSpread,BuyPressure,100.550000,9,0,0
149,FixedSpread,BuyPressure,100.482296,11,0,0
149,FixedSpread,BuyPressure,100.322007,5,0,0
150,FixedSpread,BuyPressure,100.550000,13,0,0
153,FixedSpread,BuyPressure,100.496725,10,1,0
153,FixedSpread,BuyPressure,100.322007,3,0,0
154,FixedSpread,BuyPressure,100.550000,17,0,0
156,FixedSpread,BuyPressure,100.550000,11,0,0
157,FixedSpread,BuyPressure,100.558202,5,0,1
162,FixedSpread,BuyPressure,100.558202,5,0,1
