timestamp,strategy,regime,price,quantity,mm_bought,mm_sold
2,FixedSpread,HighVolatility,100.050000,11,0,0
4,FixedSpread,HighVolatility,99.950000,15,0,0
5,FixedSpread,HighVolatility,100.050000,18,0,0
6,FixedSpread,HighVolatility,100.050000,10,0,0
8,FixedSpread,HighVolatility,99.950000,9,0,0
9,FixedSpread,HighVolatility,99.950000,13,0,0
10,FixedSpread,HighVolatility,100.050000,11,0,0
10,FixedSpread,HighVolatility,100.100000,2,0,0
11,FixedSpread,HighVolatility,99.950000,12,0,0
12,FixedSpread,HighVolatility,100.041808,10,0,1
12,FixedSpread,HighVolatility,100.100000,10,0,0
13,FixedSpread,HighVolatility,100.100000,24,0,0
15,FixedSpread,HighVolatility,99.950000,1,0,0
15,FixedSpread,HighVolatility,99.941808,10,1,0
15,FixedSpread,HighVolatility,99.939189,4,0,0
15,FixedSpread,HighVolatility,99.900000,19,0,0
18,FixedSpread,HighVolatility,100.100000,6,0,0
19,FixedSpread,HighVolatility,100.100000,8,0,0
19,FixedSpread,HighVolatility,100.143519,14,0,0
20,FixedSpread,HighVolatility,99.900000,31,0,0
20,FixedSpread,HighVolatility,99.895806,2,0,0
22,FixedSpread,HighVolatility,100.042514,10,0,1
22,FixedSpread,HighVolatility,100.143519,10,0,0
23,FixedSpread,HighVolatility,100.143519,1,0,0
23,FixedSpread,HighVolatility,100.150000,15,0,0
24,FixedSpread,HighVolatility,100.150000,2,0,0
25,FixedSpread,HighVolatility,99.942514,10,1,0
25,FixedSpread,HighVolatility,99.895806,11,0,0
25,FixedSpread,HighVolatility,99.850000,13,0,0
26,FixedSpread,HighVolatility,99.850000,34,0,0
27,FixedSpread,HighVolatility,100.150000,12,0,0
28,FixedSpread,HighVolatility,99.850000,3,0,0
28,FixedSpread,HighVolatility,99.834225,32,0,0
29,FixedSpread,HighVolatility,100.150000,7,0,0
30,FixedSpread,HighVolatility,100.150000,14,0,0
30,FixedSpread,HighVolatility,100.200000,13,0,0
31,FixedSpread,HighVolatility,100.182759,10,0,1
31,FixedSpread,HighVolatility,100.200000,4,0,0
32,FixedSpread,HighVolatility,100.200000,25,0,0
33,FixedSpread,HighVolatility,100.082759,2,1,0
34,FixedSpread,HighVolatility,100.082759,8,1,0
37,FixedSpread,HighVolatility,99.834225,2,0,0
37,FixedSpread,HighVolatility,99.800000,16,0,0
39,FixedSpread,HighVolatility,99.887596,24,0,0
40,FixedSpread,HighVolatility,99.887596,4,0,0
40,FixedSpread,HighVolatility,99.800000,3,0,0
42,FixedSpread,HighVolatility,100.045500,10,0,1
42,FixedSpread,HighVolatility,100.152814,17,0,0
46,FixedSpread,HighVolatility,100.152814,7,0,0
50,FixedSpread,HighVolatility,100.152814,4,0,0
50,FixedSpread,HighVolatility,100.156662,2,0,0
51,FixedSpread,HighVolatility,100.051786,10,1,0
51,FixedSpread,HighVolatility,100.000447,12,0,0
51,FixedSpread,HighVolatility,99.971504,4,0,0
52,FixedSpread,HighVolatility,99.971504,2,0,0
52,FixedSpread,HighVolatility,99.945500,9,1,0
53,FixedSpread,HighVolatility,100.151786,10,0,1
53,FixedSpread,HighVolatility,100.156662,17,0,0
53,FixedSpread,HighVolatility,100.200000,4,0,0
54,FixedSpread,HighVolatility,99.945500,1,1,0
54,FixedSpread,HighVolatility,99.945039,24,0,0
55,FixedSpread,HighVolatility,100.200000,4,0,0
55,FixedSpread,HighVolatility,100.200802,1,0,0
56,FixedSpread,HighVolatility,99.945039,11,0,0
56,FixedSpread,HighVolatility,99.800000,6,0,0
57,FixedSpread,HighVolatility,100.200802,21,0,0
57,FixedSpread,HighVolatility,100.250000,11,0,0
58,FixedSpread,HighVolatility,99.800000,25,0,0
60,FixedSpread,HighVolatility,99.774093,14,0,0
61,FixedSpread,HighVolatility,100.071077,10,1,0
61,FixedSpread,HighVolatility,99.774093,5,0,0
61,FixedSpread,HighVolatility,99.750000,13,0,0
62,FixedSpread,HighVolatility,100.171077,10,0,1
62,FixedSpread,HighVolatility,100.250000,10,0,0
66,FixedSpread,HighVolatility,100.222591,9,0,0
66,FixedSpread,HighVolatility,100.250000,2,0,0
67,FixedSpread,HighVolatility,100.250000,26,0,0
68,FixedSpread,HighVolatility,99.750000,21,0,0
69,FixedSpread,HighVolatility,100.250000,1,0,0
70,FixedSpread,HighVolatility,99.750000,2,0,0
71,FixedSpread,HighVolatility,100.243608,10,0,1
71,FixedSpread,HighVolatility,100.300000,4,0,0
72,FixedSpread,HighVolatility,100.143608,10,1,0
72,FixedSpread,HighVolatility,99.750000,14,0,0
72,FixedSpread,HighVolatility,99.700000,8,0,0
75,FixedSpread,HighVolatility,100.300000,16,0,0
77,FixedSpread,HighVolatility,100.207357,2,0,0
77,FixedSpread,HighVolatility,100.092970,2,0,0
79,FixedSpread,HighVolatility,100.092970,1,0,0
79,FixedSpread,HighVolatility,99.918969,18,0,0
80,FixedSpread,HighVolatility,99.918969,8,0,0
81,FixedSpread,HighVolatility,100.067812,10,1,0
81,FixedSpread,HighVolatility,99.918969,1,0,0
81,FixedSpread,HighVolatility,99.700000,12,0,0
82,FixedSpread,HighVolatility,99.700000,6,0,0
