timestamp,strategy,regime,price,quantity,mm_bought,mm_sold
1,FixedSpread,SellPressure,100.050000,2,0,0
2,FixedSpread,SellPressure,99.950000,3,0,0
3,FixedSpread,SellPressure,99.950000,4,0,0
6,FixedSpread,SellPressure,99.950000,20,0,0
7,FixedSpread,SellPressure,99.950000,11,0,0
8,FixedSpread,SellPressure,99.950000,8,0,0
10,FixedSpread,SellPressure,99.950000,4,0,0
10,FixedSpread,SellPressure,99.905814,10,0,0
10,FixedSpread,SellPressure,99.900000,2,0,0
12,FixedSpread,SellPressure,99.902986,2,1,0
13,FixedSpread,SellPressure,99.902986,8,1,0
13,FixedSpread,SellPressure,99.900000,3,0,0
15,FixedSpread,SellPressure,99.900000,5,0,0
18,FixedSpread,SellPressure,99.900000,13,0,0
19,FixedSpread,SellPressure,99.900000,4,0,0
22,FixedSpread,SellPressure,99.938335,8,0,1
24,FixedSpread,SellPressure,99.938335,2,0,1
24,FixedSpread,SellPressure,99.977444,4,0,0
25,FixedSpread,SellPressure,99.900000,6,0,0
26,FixedSpread,SellPressure,99.992527,9,0,0
26,FixedSpread,SellPressure,100.002986,2,0,1
27,FixedSpread,SellPressure,99.900000,11,0,0
28,FixedSpread,SellPressure,99.900000,6,0,0
28,FixedSpread,SellPressure,99.852325,2,0,0
29,FixedSpread,SellPressure,100.002986,3,0,1
30,FixedSpread,SellPressure,99.852325,8,0,0
30,FixedSpread,SellPressure,99.850000,1,0,0
31,FixedSpread,SellPressure,99.852340,10,1,0
31,FixedSpread,SellPressure,99.850000,3,0,0
34,FixedSpread,SellPressure,99.947536,1,0,0
36,FixedSpread,SellPressure,99.850000,18,0,0
37,FixedSpread,SellPressure,99.850000,20,0,0
38,FixedSpread,SellPressure,99.850000,8,0,0
38,FixedSpread,SellPressure,99.838335,6,1,0
39,FixedSpread,SellPressure,99.838335,4,1,0
39,FixedSpread,SellPressure,99.809314,12,0,0
40,FixedSpread,SellPressure,99.809314,5,0,0
40,FixedSpread,SellPressure,99.800000,5,0,0
41,FixedSpread,SellPressure,99.800000,3,0,0
45,FixedSpread,SellPressure,99.800000,7,0,0
46,FixedSpread,SellPressure,99.895288,10,0,1
46,FixedSpread,SellPressure,99.915796,3,0,0
47,FixedSpread,SellPressure,99.915796,11,0,0
47,FixedSpread,SellPressure,99.947536,3,0,0
48,FixedSpread,SellPressure,99.800000,1,0,0
49,FixedSpread,SellPressure,99.800000,11,0,0
51,FixedSpread,SellPressure,99.854285,9,0,0
51,FixedSpread,SellPressure,99.867683,3,0,1
52,FixedSpread,SellPressure,99.800000,16,0,0
54,FixedSpread,SellPressure,99.800000,7,0,0
54,FixedSpread,SellPressure,99.795288,10,1,0
54,FixedSpread,SellPressure,99.767683,2,1,0
55,FixedSpread,SellPressure,99.767683,8,1,0
55,FixedSpread,SellPressure,99.760199,5,0,0
57,FixedSpread,SellPressure,99.760199,5,0,0
59,FixedSpread,SellPressure,99.760199,8,0,0
59,FixedSpread,SellPressure,99.751573,8,0,0
60,FixedSpread,SellPressure,99.751573,6,0,0
61,FixedSpread,SellPressure,99.751573,2,0,0
61,FixedSpread,SellPressure,99.750000,18,0,0
63,FixedSpread,SellPressure,99.750000,4,0,0
64,FixedSpread,SellPressure,99.750000,5,0,0
65,FixedSpread,SellPressure,99.789572,10,0,1
65,FixedSpread,SellPressure,99.850441,2,0,0
65,FixedSpread,SellPressure,99.866460,4,0,0
65,FixedSpread,SellPressure,99.867683,2,0,1
67,FixedSpread,SellPressure,99.750000,9,0,0
69,FixedSpread,SellPressure,99.797634,17,0,0
70,FixedSpread,SellPressure,99.750000,7,0,0
70,FixedSpread,SellPressure,99.750000,7,0,1
71,FixedSpread,SellPressure,99.718226,10,0,0
72,FixedSpread,SellPressure,99.718226,4,0,0
72,FixedSpread,SellPressure,99.700412,14,0,0
73,FixedSpread,SellPressure,99.700412,2,0,0
73,FixedSpread,SellPressure,99.700000,17,0,0
75,FixedSpread,SellPressure,99.700000,1,0,0
77,FixedSpread,SellPressure,99.700000,7,0,0
79,FixedSpread,SellPressure,99.749798,3,0,1
79,FixedSpread,SellPressure,99.828890,4,0,0
80,FixedSpread,SellPressure,99.700000,6,0,0
80,FixedSpread,SellPressure,99.700000,10,0,1
81,FixedSpread,SellPressure,99.700000,9,0,0
81,FixedSpread,SellPressure,99.689572,2,1,0
82,FixedSpread,SellPressure,99.689572,4,1,0
84,FixedSpread,SellPressure,99.689572,1,1,0
87,FixedSpread,SellPressure,99.689572,3,1,0
87,FixedSpread,SellPressure,99.689561,1,0,0
87,FixedSpread,SellPressure,99.650000,11,0,0
89,FixedSpread,SellPressure,99.650000,9,0,0
90,FixedSpread,SellPressure,99.697876,5,0,0
90,FixedSpread,SellPressure,99.758373,13,0,0
90,FixedSpread,SellPressure,99.760875,2,0,0
92,FixedSpread,SellPressure,99.650000,12,0,0
