timestamp,strategy,regime,price,quantity,mm_bought,mm_sold
1,InventoryAndVolatilityAdjusted,Balanced,100.050000,19,0,0
2,InventoryAndVolatilityAdjusted,Balanced,99.950000,7,0,0
5,InventoryAndVolatilityAdjusted,Balanced,99.950000,5,0,0
9,InventoryAndVolatilityAdjusted,Balanced,100.015584,2,0,0
9,InventoryAndVolatilityAdjusted,Balanced,100.050000,6,0,0
11,InventoryAndVolatilityAdjusted,Balanced,99.958680,4,1,0
14,InventoryAndVolatilityAdjusted,Balanced,99.958680,6,1,0
14,InventoryAndVolatilityAdjusted,Balanced,99.950000,3,0,0
15,InventoryAndVolatilityAdjusted,Balanced,99.950000,2,0,0
17,InventoryAndVolatilityAdjusted,Balanced,99.950000,11,0,0
18,InventoryAndVolatilityAdjusted,Balanced,99.950000,6,0,0
20,InventoryAndVolatilityAdjusted,Balanced,99.950000,10,0,1
24,InventoryAndVolatilityAdjusted,Balanced,100.001317,3,0,0
27,InventoryAndVolatilityAdjusted,Balanced,99.950000,5,0,0
30,InventoryAndVolatilityAdjusted,Balanced,99.992847,3,0,0
30,InventoryAndVolatilityAdjusted,Balanced,100.001317,10,0,0
30,InventoryAndVolatilityAdjusted,Balanced,100.043651,1,0,0
31,InventoryAndVolatilityAdjusted,Balanced,100.022207,2,0,1
32,InventoryAndVolatilityAdjusted,Balanced,100.022207,8,0,1
33,InventoryAndVolatilityAdjusted,Balanced,99.950000,1,0,0
33,InventoryAndVolatilityAdjusted,Balanced,99.938122,19,0,0
34,InventoryAndVolatilityAdjusted,Balanced,100.043651,14,0,0
36,InventoryAndVolatilityAdjusted,Balanced,100.050000,19,0,0
37,InventoryAndVolatilityAdjusted,Balanced,100.050000,3,0,0
39,InventoryAndVolatilityAdjusted,Balanced,100.050000,3,0,0
39,InventoryAndVolatilityAdjusted,Balanced,100.057024,3,0,0
39,InventoryAndVolatilityAdjusted,Balanced,100.059197,6,0,0
40,InventoryAndVolatilityAdjusted,Balanced,99.908754,10,1,0
40,InventoryAndVolatilityAdjusted,Balanced,99.900000,6,0,0
41,InventoryAndVolatilityAdjusted,Balanced,99.936886,3,1,0
42,InventoryAndVolatilityAdjusted,Balanced,100.056366,10,0,1
42,InventoryAndVolatilityAdjusted,Balanced,100.059197,8,0,0
42,InventoryAndVolatilityAdjusted,Balanced,100.064767,1,0,1
