timestamp,strategy,regime,price,quantity,mm_bought,mm_sold
1,InventoryAndVolatilityAdjusted,SellPressure,99.950000,8,0,0
2,InventoryAndVolatilityAdjusted,SellPressure,100.050000,10,0,0
3,InventoryAndVolatilityAdjusted,SellPressure,100.050000,3,0,0
4,InventoryAndVolatilityAdjusted,SellPressure,99.950000,12,0,0
5,InventoryAndVolatilityAdjusted,SellPressure,99.950000,9,0,0
6,InventoryAndVolatilityAdjusted,SellPressure,99.950000,1,0,0
7,InventoryAndVolatilityAdjusted,SellPressure,100.050000,12,0,0
8,InventoryAndVolatilityAdjusted,SellPressure,99.950000,17,0,0
9,InventoryAndVolatilityAdjusted,SellPressure,99.950000,3,0,0
9,InventoryAndVolatilityAdjusted,SellPressure,99.900000,15,0,0
10,InventoryAndVolatilityAdjusted,SellPressure,99.900000,2,0,0
11,InventoryAndVolatilityAdjusted,SellPressure,100.038213,10,0,1
11,InventoryAndVolatilityAdjusted,SellPressure,100.050000,6,0,0
14,InventoryAndVolatilityAdjusted,SellPressure,100.043684,7,0,0
14,InventoryAndVolatilityAdjusted,SellPressure,100.050000,4,0,0
16,InventoryAndVolatilityAdjusted,SellPressure,99.923608,1,1,0
18,InventoryAndVolatilityAdjusted,SellPressure,99.997947,6,0,0
19,InventoryAndVolatilityAdjusted,SellPressure,99.997947,6,0,0
20,InventoryAndVolatilityAdjusted,SellPressure,99.997947,4,1,0
20,InventoryAndVolatilityAdjusted,SellPressure,100.050000,6,1,0
21,InventoryAndVolatilityAdjusted,SellPressure,99.923608,9,1,0
21,InventoryAndVolatilityAdjusted,SellPressure,99.900000,1,0,0
22,InventoryAndVolatilityAdjusted,SellPressure,99.900000,16,0,0
23,InventoryAndVolatilityAdjusted,SellPressure,99.900000,15,0,0
24,InventoryAndVolatilityAdjusted,SellPressure,99.900000,1,0,0
24,InventoryAndVolatilityAdjusted,SellPressure,99.889877,10,0,0
26,InventoryAndVolatilityAdjusted,SellPressure,99.889877,1,0,0
26,InventoryAndVolatilityAdjusted,SellPressure,99.850000,15,0,0
28,InventoryAndVolatilityAdjusted,SellPressure,100.050000,9,0,0
28,InventoryAndVolatilityAdjusted,SellPressure,100.092764,11,0,0
30,InventoryAndVolatilityAdjusted,SellPressure,100.098415,4,0,0
30,InventoryAndVolatilityAdjusted,SellPressure,100.100000,15,0,0
32,InventoryAndVolatilityAdjusted,SellPressure,99.887628,10,0,1
33,InventoryAndVolatilityAdjusted,SellPressure,99.850000,1,0,0
35,InventoryAndVolatilityAdjusted,SellPressure,100.100000,2,0,0
36,InventoryAndVolatilityAdjusted,SellPressure,99.850000,1,0,0
39,InventoryAndVolatilityAdjusted,SellPressure,99.850000,19,0,0
41,InventoryAndVolatilityAdjusted,SellPressure,100.011887,1,0,1
42,InventoryAndVolatilityAdjusted,SellPressure,100.011887,9,0,1
42,InventoryAndVolatilityAdjusted,SellPressure,100.034048,8,0,0
43,InventoryAndVolatilityAdjusted,SellPressure,99.890674,4,1,0
44,InventoryAndVolatilityAdjusted,SellPressure,99.890674,6,1,0
44,InventoryAndVolatilityAdjusted,SellPressure,99.850000,11,0,0
46,InventoryAndVolatilityAdjusted,SellPressure,99.850000,3,0,0
46,InventoryAndVolatilityAdjusted,SellPressure,99.814996,6,0,0
47,InventoryAndVolatilityAdjusted,SellPressure,100.034048,7,0,0
47,InventoryAndVolatilityAdjusted,SellPressure,100.035773,8,0,0
49,InventoryAndVolatilityAdjusted,SellPressure,99.814996,1,0,0
49,InventoryAndVolatilityAdjusted,SellPressure,99.800000,11,0,0
50,InventoryAndVolatilityAdjusted,SellPressure,100.035773,2,0,0
50,InventoryAndVolatilityAdjusted,SellPressure,100.060824,6,0,0
52,InventoryAndVolatilityAdjusted,SellPressure,99.907290,8,0,0
52,InventoryAndVolatilityAdjusted,SellPressure,99.885711,9,1,0
53,InventoryAndVolatilityAdjusted,SellPressure,100.012233,1,0,1
54,InventoryAndVolatilityAdjusted,SellPressure,99.885711,1,1,0
54,InventoryAndVolatilityAdjusted,SellPressure,99.800000,16,0,0
55,InventoryAndVolatilityAdjusted,SellPressure,100.012233,1,0,1
60,InventoryAndVolatilityAdjusted,SellPressure,99.836262,2,0,0
61,InventoryAndVolatilityAdjusted,SellPressure,99.836262,4,0,0
61,InventoryAndVolatilityAdjusted,SellPressure,99.800000,5,0,0
63,InventoryAndVolatilityAdjusted,SellPressure,99.878260,5,0,1
66,InventoryAndVolatilityAdjusted,SellPressure,99.800000,7,0,0
67,InventoryAndVolatilityAdjusted,SellPressure,99.800000,11,0,0
69,InventoryAndVolatilityAdjusted,SellPressure,99.768215,18,0,0
69,InventoryAndVolatilityAdjusted,SellPressure,99.768138,2,1,0
70,InventoryAndVolatilityAdjusted,SellPressure,99.768138,8,1,0
70,InventoryAndVolatilityAdjusted,SellPressure,99.755393,3,1,0
70,InventoryAndVolatilityAdjusted,SellPressure,99.755393,7,1,1
70,InventoryAndVolatilityAdjusted,SellPressure,99.750000,3,0,1
71,InventoryAndVolatilityAdjusted,SellPressure,99.750000,1,0,0
73,InventoryAndVolatilityAdjusted,SellPressure,99.830455,11,0,0
73,InventoryAndVolatilityAdjusted,SellPressure,99.750000,5,0,0
76,InventoryAndVolatilityAdjusted,SellPressure,99.878260,2,0,1
77,InventoryAndVolatilityAdjusted,SellPressure,99.811942,6,0,0
