timestamp,strategy,regime,price,quantity,mm_bought,mm_sold
1,InventorySkew,Balanced,99.950000,19,0,0
2,InventorySkew,Balanced,99.950000,19,0,0
5,InventorySkew,Balanced,99.950000,6,0,0
6,InventorySkew,Balanced,99.950000,6,0,0
6,InventorySkew,Balanced,99.900000,6,0,0
8,InventorySkew,Balanced,99.930753,9,0,0
12,InventorySkew,Balanced,99.930753,2,0,0
12,InventorySkew,Balanced,99.900000,14,0,0
13,InventorySkew,Balanced,99.995091,10,0,1
13,InventorySkew,Balanced,100.020999,4,0,0
13,InventorySkew,Balanced,100.027098,2,0,0
14,InventorySkew,Balanced,99.900000,10,0,0
15,InventorySkew,Balanced,100.027098,5,0,0
15,InventorySkew,Balanced,100.050000,14,0,0
16,InventorySkew,Balanced,99.900000,3,0,0
20,InventorySkew,Balanced,99.967806,2,1,0
21,InventorySkew,Balanced,100.031870,8,1,0
21,InventorySkew,Balanced,99.900000,10,0,0
22,InventorySkew,Balanced,99.900000,1,0,0
23,InventorySkew,Balanced,100.049090,17,0,0
23,InventorySkew,Balanced,100.050000,3,0,0
25,InventorySkew,Balanced,99.900000,6,0,0
25,InventorySkew,Balanced,99.895091,10,1,0
25,InventorySkew,Balanced,99.894005,2,0,0
25,InventorySkew,Balanced,99.850000,1,0,0
26,InventorySkew,Balanced,99.850000,13,0,0
27,InventorySkew,Balanced,99.850000,3,0,0
28,InventorySkew,Balanced,100.050000,5,0,0
29,InventorySkew,Balanced,100.050000,17,0,0
30,InventorySkew,Balanced,99.850000,10,0,1
32,InventorySkew,Balanced,100.050000,11,0,0
33,InventorySkew,Balanced,99.850000,3,0,0
35,InventorySkew,Balanced,99.967210,1,0,0
35,InventorySkew,Balanced,100.079433,6,0,0
37,InventorySkew,Balanced,99.868682,3,0,0
37,InventorySkew,Balanced,99.850000,16,0,0
38,InventorySkew,Balanced,100.079433,1,0,0
38,InventorySkew,Balanced,100.097353,2,0,0
42,InventorySkew,Balanced,99.874349,1,1,0
45,InventorySkew,Balanced,99.974349,10,0,1
45,InventorySkew,Balanced,100.038207,5,0,0
45,InventorySkew,Balanced,100.097353,4,0,0
46,InventorySkew,Balanced,99.874349,9,1,0
47,InventorySkew,Balanced,99.872656,1,0,0
50,InventorySkew,Balanced,100.097353,8,0,0
50,InventorySkew,Balanced,100.100000,6,0,0
51,InventorySkew,Balanced,99.962695,5,0,1
52,InventorySkew,Balanced,99.962695,5,0,1
52,InventorySkew,Balanced,100.100000,3,0,0
53,InventorySkew,Balanced,100.100000,3,0,0
57,InventorySkew,Balanced,99.889505,6,0,0
58,InventorySkew,Balanced,99.961918,2,0,0
58,InventorySkew,Balanced,100.093927,3,0,0
59,InventorySkew,Balanced,99.889505,13,0,0
60,InventorySkew,Balanced,99.889505,1,0,0
60,InventorySkew,Balanced,99.872656,7,0,0
60,InventorySkew,Balanced,99.864134,2,0,0
60,InventorySkew,Balanced,99.862695,7,1,0
62,InventorySkew,Balanced,100.013552,4,0,1
64,InventorySkew,Balanced,100.013552,6,0,1
64,InventorySkew,Balanced,100.078442,3,0,0
64,InventorySkew,Balanced,100.093927,3,0,0
65,InventorySkew,Balanced,100.093927,14,0,0
65,InventorySkew,Balanced,100.100000,6,0,0
66,InventorySkew,Balanced,100.100000,16,0,0
68,InventorySkew,Balanced,99.913552,10,1,0
68,InventorySkew,Balanced,99.862695,3,1,0
68,InventorySkew,Balanced,99.850000,3,0,0
69,InventorySkew,Balanced,99.850000,1,0,0
69,InventorySkew,Balanced,99.826920,3,0,0
69,InventorySkew,Balanced,99.823039,4,0,0
69,InventorySkew,Balanced,99.800000,10,0,0
70,InventorySkew,Balanced,99.800000,3,0,0
72,InventorySkew,Balanced,99.981820,11,0,0
72,InventorySkew,Balanced,99.988069,1,0,1
75,InventorySkew,Balanced,99.888069,8,1,0
78,InventorySkew,Balanced,99.888069,2,1,0
78,InventorySkew,Balanced,99.863643,6,0,0
78,InventorySkew,Balanced,99.800000,9,0,0
79,InventorySkew,Balanced,99.800000,6,0,0
80,InventorySkew,Balanced,99.800000,14,0,0
81,InventorySkew,Balanced,99.801910,10,0,1
82,InventorySkew,Balanced,99.983366,15,0,0
83,InventorySkew,Balanced,99.808741,6,0,0
83,InventorySkew,Balanced,99.800000,8,0,0
83,InventorySkew,Balanced,99.795198,4,0,0
85,InventorySkew,Balanced,99.795198,2,0,0
85,InventorySkew,Balanced,99.787788,14,0,0
86,InventorySkew,Balanced,99.787788,2,0,0
88,InventorySkew,Balanced,99.881817,4,0,0
89,InventorySkew,Balanced,99.881817,11,0,0
89,InventorySkew,Balanced,99.983366,2,0,0
89,InventorySkew,Balanced,99.988069,4,0,1
91,InventorySkew,Balanced,99.904908,5,1,0
92,InventorySkew,Balanced,99.904908,5,1,0
92,InventorySkew,Balanced,99.787788,4,0,0
92,InventorySkew,Balanced,99.777732,5,0,0
94,InventorySkew,Balanced,99.777732,2,0,0
94,InventorySkew,Balanced,99.770247,5,0,0
95,InventorySkew,Balanced,99.770247,2,0,0
95,InventorySkew,Balanced,99.750000,16,0,0
96,InventorySkew,Balanced,99.873017,4,0,0
96,InventorySkew,Balanced,99.988069,3,0,1
97,InventorySkew,Balanced,99.988069,2,0,1
97,InventorySkew,Balanced,100.004908,2,0,1
98,InventorySkew,Balanced,100.004908,4,0,1
100,InventorySkew,Balanced,99.750000,13,0,0
101,InventorySkew,Balanced,100.003050,3,0,1
102,InventorySkew,Balanced,99.903050,10,1,0
102,InventorySkew,Balanced,99.750000,2,0,0
103,InventorySkew,Balanced,99.750000,4,0,0
104,InventorySkew,Balanced,100.003050,7,0,1
104,InventorySkew,Balanced,100.004908,4,0,1
104,InventorySkew,Balanced,100.017616,9,0,0
105,InventorySkew,Balanced,100.017616,6,0,0
106,InventorySkew,Balanced,100.017616,5,0,0
106,InventorySkew,Balanced,100.035648,5,0,0
107,InventorySkew,Balanced,99.750000,3,0,0
109,InventorySkew,Balanced,99.750000,12,0,0
109,InventorySkew,Balanced,99.742420,3,0,0
111,InventorySkew,Balanced,99.971526,13,0,0
111,InventorySkew,Balanced,99.989865,2,0,0
113,InventorySkew,Balanced,99.968887,5,0,0
113,InventorySkew,Balanced,99.989865,4,0,0
113,InventorySkew,Balanced,100.035648,6,0,0
114,InventorySkew,Balanced,100.035648,1,0,0
114,InventorySkew,Balanced,100.046201,10,0,1
114,InventorySkew,Balanced,100.053013,5,0,0
115,InventorySkew,Balanced,99.946201,10,1,0
115,InventorySkew,Balanced,99.741262,4,0,0
