timestamp,strategy,regime,price,quantity,mm_bought,mm_sold
1,InventorySkew,HighVolatility,99.950000,22,0,0
2,InventorySkew,HighVolatility,99.950000,13,0,0
3,InventorySkew,HighVolatility,100.050000,2,0,0
4,InventorySkew,HighVolatility,100.050000,35,0,0
5,InventorySkew,HighVolatility,100.050000,13,0,0
5,InventorySkew,HighVolatility,100.100000,12,0,0
7,InventorySkew,HighVolatility,99.950000,15,0,0
7,InventorySkew,HighVolatility,99.900000,16,0,0
8,InventorySkew,HighVolatility,100.100000,18,0,0
9,InventorySkew,HighVolatility,100.100000,15,0,0
10,InventorySkew,HighVolatility,100.100000,5,0,0
10,InventorySkew,HighVolatility,100.150000,3,0,0
11,InventorySkew,HighVolatility,100.061429,10,0,1
11,InventorySkew,HighVolatility,100.150000,13,0,0
13,InventorySkew,HighVolatility,99.961429,10,1,0
13,InventorySkew,HighVolatility,99.935052,15,0,0
15,InventorySkew,HighVolatility,99.935052,3,0,0
15,InventorySkew,HighVolatility,99.900000,20,0,0
16,InventorySkew,HighVolatility,100.150000,26,0,0
19,InventorySkew,HighVolatility,99.900000,14,0,0
19,InventorySkew,HighVolatility,99.850000,3,0,0
20,InventorySkew,HighVolatility,100.128036,5,0,0
22,InventorySkew,HighVolatility,99.961497,10,0,1
22,InventorySkew,HighVolatility,100.128036,6,0,0
23,InventorySkew,HighVolatility,100.128036,2,0,0
23,InventorySkew,HighVolatility,100.150000,8,0,0
23,InventorySkew,HighVolatility,100.169100,7,0,0
23,InventorySkew,HighVolatility,100.200000,1,0,0
24,InventorySkew,HighVolatility,100.200000,24,0,0
25,InventorySkew,HighVolatility,99.861497,2,1,0
26,InventorySkew,HighVolatility,99.861497,8,1,0
26,InventorySkew,HighVolatility,99.850000,12,0,0
27,InventorySkew,HighVolatility,99.850000,4,0,0
28,InventorySkew,HighVolatility,100.200000,5,0,0
29,InventorySkew,HighVolatility,99.850000,4,0,0
30,InventorySkew,HighVolatility,99.850000,20,0,0
31,InventorySkew,HighVolatility,100.014634,7,0,1
32,InventorySkew,HighVolatility,100.014634,3,0,1
32,InventorySkew,HighVolatility,100.200000,17,0,0
36,InventorySkew,HighVolatility,100.115260,26,0,0
36,InventorySkew,HighVolatility,100.200000,3,0,0
36,InventorySkew,HighVolatility,100.250000,5,0,0
37,InventorySkew,HighVolatility,100.250000,7,0,0
38,InventorySkew,HighVolatility,99.914634,10,1,0
39,InventorySkew,HighVolatility,99.850000,7,0,0
39,InventorySkew,HighVolatility,99.800000,13,0,0
40,InventorySkew,HighVolatility,99.800000,26,0,0
41,InventorySkew,HighVolatility,100.137988,10,0,1
41,InventorySkew,HighVolatility,100.250000,25,0,0
42,InventorySkew,HighVolatility,100.037988,10,1,0
42,InventorySkew,HighVolatility,99.800000,2,0,0
43,InventorySkew,HighVolatility,100.250000,3,0,0
45,InventorySkew,HighVolatility,99.967035,4,0,0
46,InventorySkew,HighVolatility,100.250000,7,0,0
47,InventorySkew,HighVolatility,100.250000,3,0,0
47,InventorySkew,HighVolatility,100.268918,6,0,0
48,InventorySkew,HighVolatility,99.967035,18,0,0
48,InventorySkew,HighVolatility,99.800000,6,0,0
50,InventorySkew,HighVolatility,99.800000,3,0,0
50,InventorySkew,HighVolatility,99.750000,20,0,0
51,InventorySkew,HighVolatility,100.083559,6,1,0
53,InventorySkew,HighVolatility,100.083559,4,1,0
53,InventorySkew,HighVolatility,99.871868,8,0,0
54,InventorySkew,HighVolatility,99.871868,8,0,0
54,InventorySkew,HighVolatility,99.750000,11,0,0
55,InventorySkew,HighVolatility,100.183559,10,0,1
55,InventorySkew,HighVolatility,100.268918,5,0,0
55,InventorySkew,HighVolatility,100.300000,11,0,0
56,InventorySkew,HighVolatility,100.300000,4,0,0
57,InventorySkew,HighVolatility,100.300000,32,0,0
58,InventorySkew,HighVolatility,99.750000,8,0,0
60,InventorySkew,HighVolatility,100.014199,3,0,0
60,InventorySkew,HighVolatility,99.750000,11,0,0
60,InventorySkew,HighVolatility,99.745712,16,0,0
61,InventorySkew,HighVolatility,100.032690,4,1,0
