timestamp,strategy,regime,price,quantity,mm_bought,mm_sold
1,VolatilityAdjusted,BuyPressure,100.050000,15,0,0
2,VolatilityAdjusted,BuyPressure,100.050000,5,0,0
6,VolatilityAdjusted,BuyPressure,99.950000,15,0,0
7,VolatilityAdjusted,BuyPressure,99.950000,1,0,0
9,VolatilityAdjusted,BuyPressure,100.050000,18,0,0
10,VolatilityAdjusted,BuyPressure,100.050000,12,0,0
10,VolatilityAdjusted,BuyPressure,100.100000,2,0,0
11,VolatilityAdjusted,BuyPressure,100.088465,10,0,1
11,VolatilityAdjusted,BuyPressure,100.100000,1,0,0
12,VolatilityAdjusted,BuyPressure,100.100000,11,0,0
14,VolatilityAdjusted,BuyPressure,100.100000,5,0,0
15,VolatilityAdjusted,BuyPressure,99.976090,10,1,0
16,VolatilityAdjusted,BuyPressure,99.950000,8,0,0
19,VolatilityAdjusted,BuyPressure,100.100000,11,0,0
20,VolatilityAdjusted,BuyPressure,100.100000,17,0,0
21,VolatilityAdjusted,BuyPressure,100.100000,3,0,0
21,VolatilityAdjusted,BuyPressure,100.112316,10,0,1
21,VolatilityAdjusted,BuyPressure,100.150000,4,0,0
23,VolatilityAdjusted,BuyPressure,100.150000,6,0,0
24,VolatilityAdjusted,BuyPressure,100.150000,6,0,0
26,VolatilityAdjusted,BuyPressure,100.012251,2,0,0
26,VolatilityAdjusted,BuyPressure,99.993063,7,1,0
27,VolatilityAdjusted,BuyPressure,100.150000,8,0,0
28,VolatilityAdjusted,BuyPressure,100.150000,14,0,0
30,VolatilityAdjusted,BuyPressure,100.150000,12,0,0
30,VolatilityAdjusted,BuyPressure,100.200000,4,0,0
31,VolatilityAdjusted,BuyPressure,100.192074,10,0,1
31,VolatilityAdjusted,BuyPressure,100.200000,4,0,0
33,VolatilityAdjusted,BuyPressure,100.200000,6,0,0
35,VolatilityAdjusted,BuyPressure,100.200000,15,0,0
38,VolatilityAdjusted,BuyPressure,100.126955,3,0,0
41,VolatilityAdjusted,BuyPressure,100.200000,1,0,0
42,VolatilityAdjusted,BuyPressure,100.200000,2,0,0
44,VolatilityAdjusted,BuyPressure,100.200000,13,0,0
46,VolatilityAdjusted,BuyPressure,100.200000,5,0,0
46,VolatilityAdjusted,BuyPressure,100.206464,1,0,0
46,VolatilityAdjusted,BuyPressure,100.219673,10,0,1
46,VolatilityAdjusted,BuyPressure,100.250000,1,0,0
49,VolatilityAdjusted,BuyPressure,100.235327,1,0,0
54,VolatilityAdjusted,BuyPressure,100.235327,5,0,0
58,VolatilityAdjusted,BuyPressure,100.235327,10,0,0
61,VolatilityAdjusted,BuyPressure,100.235327,3,0,0
61,VolatilityAdjusted,BuyPressure,100.250000,1,0,0
62,VolatilityAdjusted,BuyPressure,100.250000,14,0,0
63,VolatilityAdjusted,BuyPressure,100.250000,3,0,0
64,VolatilityAdjusted,BuyPressure,100.250000,5,0,0
66,VolatilityAdjusted,BuyPressure,100.250000,10,0,0
67,VolatilityAdjusted,BuyPressure,100.250000,16,0,0
67,VolatilityAdjusted,BuyPressure,100.272083,4,0,1
68,VolatilityAdjusted,BuyPressure,100.272083,6,0,1
68,VolatilityAdjusted,BuyPressure,100.277322,1,0,0
68,VolatilityAdjusted,BuyPressure,100.300000,6,0,0
69,VolatilityAdjusted,BuyPressure,100.241325,6,0,0
71,VolatilityAdjusted,BuyPressure,100.249624,10,1,0
71,VolatilityAdjusted,BuyPressure,100.241325,2,0,0
71,VolatilityAdjusted,BuyPressure,100.199701,6,0,0
72,VolatilityAdjusted,BuyPressure,100.300000,1,0,0
73,VolatilityAdjusted,BuyPressure,100.199701,7,0,0
74,VolatilityAdjusted,BuyPressure,100.199701,5,0,0
74,VolatilityAdjusted,BuyPressure,100.194464,2,0,0
74,VolatilityAdjusted,BuyPressure,100.193057,1,0,0
75,VolatilityAdjusted,BuyPressure,100.300000,7,0,0
76,VolatilityAdjusted,BuyPressure,100.300000,15,0,0
79,VolatilityAdjusted,BuyPressure,100.300000,11,0,0
81,VolatilityAdjusted,BuyPressure,100.256965,7,1,0
82,VolatilityAdjusted,BuyPressure,100.300000,4,0,0
85,VolatilityAdjusted,BuyPressure,100.300000,6,0,0
85,VolatilityAdjusted,BuyPressure,100.303095,2,0,1
86,VolatilityAdjusted,BuyPressure,100.303095,8,0,1
86,VolatilityAdjusted,BuyPressure,100.333838,8,0,0
89,VolatilityAdjusted,BuyPressure,100.333838,2,0,0
89,VolatilityAdjusted,BuyPressure,100.350000,13,0,0
91,VolatilityAdjusted,BuyPressure,100.312963,2,0,0
92,VolatilityAdjusted,BuyPressure,100.350000,13,0,0
93,VolatilityAdjusted,BuyPressure,100.350000,14,0,0
95,VolatilityAdjusted,BuyPressure,100.350000,10,0,0
95,VolatilityAdjusted,BuyPressure,100.373513,9,0,1
97,VolatilityAdjusted,BuyPressure,100.373513,1,0,1
97,VolatilityAdjusted,BuyPressure,100.381867,10,0,1
97,VolatilityAdjusted,BuyPressure,100.400000,8,0,0
102,VolatilityAdjusted,BuyPressure,100.400000,13,0,0
103,VolatilityAdjusted,BuyPressure,100.337617,1,1,0
104,VolatilityAdjusted,BuyPressure,100.337617,9,1,0
104,VolatilityAdjusted,BuyPressure,100.335068,7,0,0
105,VolatilityAdjusted,BuyPressure,100.400000,5,0,0
106,VolatilityAdjusted,BuyPressure,100.335068,6,0,0
106,VolatilityAdjusted,BuyPressure,100.312963,4,0,0
107,VolatilityAdjusted,BuyPressure,100.400000,4,0,0
109,VolatilityAdjusted,BuyPressure,100.312963,4,0,0
