timestamp,strategy,regime,price,quantity,mm_bought,mm_sold
1,VolatilityAdjusted,HighVolatility,99.950000,14,0,0
2,VolatilityAdjusted,HighVolatility,100.050000,19,0,0
4,VolatilityAdjusted,HighVolatility,100.050000,14,0,0
7,VolatilityAdjusted,HighVolatility,100.050000,17,0,0
7,VolatilityAdjusted,HighVolatility,100.100000,12,0,0
8,VolatilityAdjusted,HighVolatility,100.100000,32,0,0
10,VolatilityAdjusted,HighVolatility,100.100000,6,0,0
10,VolatilityAdjusted,HighVolatility,100.150000,10,0,0
12,VolatilityAdjusted,HighVolatility,100.074876,10,1,0
12,VolatilityAdjusted,HighVolatility,99.974274,14,0,0
12,VolatilityAdjusted,HighVolatility,99.950000,10,0,0
13,VolatilityAdjusted,HighVolatility,100.150000,4,0,0
14,VolatilityAdjusted,HighVolatility,99.950000,26,0,0
14,VolatilityAdjusted,HighVolatility,99.924620,1,0,0
15,VolatilityAdjusted,HighVolatility,100.150000,8,0,0
16,VolatilityAdjusted,HighVolatility,100.150000,28,0,0
17,VolatilityAdjusted,HighVolatility,99.900000,10,0,0
18,VolatilityAdjusted,HighVolatility,100.159677,18,0,0
19,VolatilityAdjusted,HighVolatility,99.900000,13,0,0
21,VolatilityAdjusted,HighVolatility,100.123657,3,1,0
22,VolatilityAdjusted,HighVolatility,100.123657,6,1,0
23,VolatilityAdjusted,HighVolatility,100.123657,1,1,0
23,VolatilityAdjusted,HighVolatility,99.902326,2,0,0
24,VolatilityAdjusted,HighVolatility,99.902326,16,0,0
24,VolatilityAdjusted,HighVolatility,99.900000,13,0,0
27,VolatilityAdjusted,HighVolatility,100.106382,26,0,0
27,VolatilityAdjusted,HighVolatility,100.159677,4,0,0
28,VolatilityAdjusted,HighVolatility,100.159677,3,0,0
28,VolatilityAdjusted,HighVolatility,100.200000,1,0,0
29,VolatilityAdjusted,HighVolatility,99.900000,5,0,0
32,VolatilityAdjusted,HighVolatility,100.178680,10,0,1
32,VolatilityAdjusted,HighVolatility,100.200000,14,0,0
33,VolatilityAdjusted,HighVolatility,100.006582,10,1,0
33,VolatilityAdjusted,HighVolatility,99.900000,5,0,0
34,VolatilityAdjusted,HighVolatility,99.900000,4,0,0
34,VolatilityAdjusted,HighVolatility,99.850000,15,0,0
36,VolatilityAdjusted,HighVolatility,99.850000,34,0,0
37,VolatilityAdjusted,HighVolatility,99.850000,1,0,0
37,VolatilityAdjusted,HighVolatility,99.847334,5,0,0
37,VolatilityAdjusted,HighVolatility,99.800000,25,0,0
38,VolatilityAdjusted,HighVolatility,100.176497,4,0,0
40,VolatilityAdjusted,HighVolatility,100.176497,22,0,0
40,VolatilityAdjusted,HighVolatility,100.200000,10,0,0
42,VolatilityAdjusted,HighVolatility,100.033301,5,1,0
43,VolatilityAdjusted,HighVolatility,100.033301,5,1,0
43,VolatilityAdjusted,HighVolatility,99.800000,19,0,0
44,VolatilityAdjusted,HighVolatility,99.800000,6,0,0
44,VolatilityAdjusted,HighVolatility,99.756315,2,0,0
47,VolatilityAdjusted,HighVolatility,99.768893,3,0,0
47,VolatilityAdjusted,HighVolatility,99.756315,29,0,0
47,VolatilityAdjusted,HighVolatility,99.750000,3,0,0
48,VolatilityAdjusted,HighVolatility,100.200000,4,0,0
